survey_date,target_year,horizon_years,country,mktcode,dsmnemonic,statistic,forecast_value,unitcodedesc,freqcode,perioddate,changeseq,ecoseriesid,desc_english,source_check,is_expectation,old_cpi_mnemonic_check
2013-02-07,2014,1,Albania,H1,ALCECPRM,mean,3.20000004768372,Percentage,ANNL,2014-01-01,0.0,143242.0,"CONSUMER PRICES (%YOY, MEAN)",ZZ: CONSENSUS ECONOMICS INC.,True,False
2013-03-19,2014,1,Albania,H1,ALCECPRM,mean,3.29999995231628,Percentage,ANNL,2014-01-01,1.0,143242.0,"CONSUMER PRICES (%YOY, MEAN)",ZZ: CONSENSUS ECONOMICS INC.,True,False
2013-06-06,2014,1,Albania,H1,ALCECPRM,mean,3.20000004768372,Percentage,ANNL,2014-01-01,2.0,143242.0,"CONSUMER PRICES (%YOY, MEAN)",ZZ: CONSENSUS ECONOMICS INC.,True,False
2013-07-04,2014,1,Albania,H1,ALCECPRM,mean,2.70000004768372,Percentage,ANNL,2014-01-01,3.0,143242.0,"CONSUMER PRICES (%YOY, MEAN)",ZZ: CONSENSUS ECONOMICS INC.,True,False
2013-12-18,2014,1,Albania,H1,ALCECPRM,mean,2.40000009536743,Percentage,ANNL,2014-01-01,4.0,143242.0,"CONSUMER PRICES (%YOY, MEAN)",ZZ: CONSENSUS ECONOMICS INC.,True,False
2014-01-02,2014,0,Albania,H1,ALCECPRM,mean,2.29999995231628,Percentage,ANNL,2014-01-01,5.0,143242.0,"CONSUMER PRICES (%YOY, MEAN)",ZZ: CONSENSUS ECONOMICS INC.,True,False
2014-02-06,2014,0,Albania,H1,ALCECPRM,mean,2.59999990463257,Percentage,ANNL,2014-01-01,6.0,143242.0,"CONSUMER PRICES (%YOY, MEAN)",ZZ: CONSENSUS ECONOMICS INC.,True,False
2014-03-06,2014,0,Albania,H1,ALCECPRM,mean,2.20000004768372,Percentage,ANNL,2014-01-01,7.0,143242.0,"CONSUMER PRICES (%YOY, MEAN)",ZZ: CONSENSUS ECONOMICS INC.,True,False
2014-04-03,2014,0,Albania,H1,ALCECPRM,mean,2.09999990463257,Percentage,ANNL,2014-01-01,8.0,143242.0,"CONSUMER PRICES (%YOY, MEAN)",ZZ: CONSENSUS ECONOMICS INC.,True,False
2014-05-09,2014,0,Albania,H1,ALCECPRM,mean,2.10000133514404,Percentage,ANNL,2014-01-01,9.0,143242.0,"CONSUMER PRICES (%YOY, MEAN)",ZZ: CONSENSUS ECONOMICS INC.,True,False
2014-06-05,2014,0,Albania,H1,ALCECPRM,mean,2.60000252723694,Percentage,ANNL,2014-01-01,10.0,143242.0,"CONSUMER PRICES (%YOY, MEAN)",ZZ: CONSENSUS ECONOMICS INC.,True,False
2014-07-02,2014,0,Albania,H1,ALCECPRM,mean,1.90000116825104,Percentage,ANNL,2014-01-01,11.0,143242.0,"CONSUMER PRICES (%YOY, MEAN)",ZZ: CONSENSUS ECONOMICS INC.,True,False
2014-09-03,2014,0,Albania,H1,ALCECPRM,mean,2.0,Percentage,ANNL,2014-01-01,12.0,143242.0,"CONSUMER PRICES (%YOY, MEAN)",ZZ: CONSENSUS ECONOMICS INC.,True,False
