figure,description,variable,rule_filter,type_filter,n_model_rule_pairs
piq_all.pdf,piq_all_description.txt,piq,all,all,223
piq_inertial_taylor.pdf,piq_inertial_taylor_description.txt,piq,Inertial_Taylor,all,74
piq_taylor.pdf,piq_taylor_description.txt,piq,Taylor,all,74
piq_growth.pdf,piq_growth_description.txt,piq,Growth,all,76
piq_estimated.pdf,piq_estimated_description.txt,piq,all,estimated,131
piq_calibrated.pdf,piq_calibrated_description.txt,piq,all,calibrated,92
piq_estimated_inertial_taylor.pdf,piq_estimated_inertial_taylor_description.txt,piq,Inertial_Taylor,estimated,44
piq_estimated_taylor.pdf,piq_estimated_taylor_description.txt,piq,Taylor,estimated,44
piq_estimated_growth.pdf,piq_estimated_growth_description.txt,piq,Growth,estimated,45
piq_calibrated_inertial_taylor.pdf,piq_calibrated_inertial_taylor_description.txt,piq,Inertial_Taylor,calibrated,31
piq_calibrated_taylor.pdf,piq_calibrated_taylor_description.txt,piq,Taylor,calibrated,31
piq_calibrated_growth.pdf,piq_calibrated_growth_description.txt,piq,Growth,calibrated,32
y_all.pdf,y_all_description.txt,y,all,all,223
y_inertial_taylor.pdf,y_inertial_taylor_description.txt,y,Inertial_Taylor,all,74
y_taylor.pdf,y_taylor_description.txt,y,Taylor,all,74
y_growth.pdf,y_growth_description.txt,y,Growth,all,76
y_estimated.pdf,y_estimated_description.txt,y,all,estimated,131
y_calibrated.pdf,y_calibrated_description.txt,y,all,calibrated,92
y_estimated_inertial_taylor.pdf,y_estimated_inertial_taylor_description.txt,y,Inertial_Taylor,estimated,44
y_estimated_taylor.pdf,y_estimated_taylor_description.txt,y,Taylor,estimated,44
y_estimated_growth.pdf,y_estimated_growth_description.txt,y,Growth,estimated,45
y_calibrated_inertial_taylor.pdf,y_calibrated_inertial_taylor_description.txt,y,Inertial_Taylor,calibrated,31
y_calibrated_taylor.pdf,y_calibrated_taylor_description.txt,y,Taylor,calibrated,31
y_calibrated_growth.pdf,y_calibrated_growth_description.txt,y,Growth,calibrated,32
irate_all.pdf,irate_all_description.txt,irate,all,all,223
irate_inertial_taylor.pdf,irate_inertial_taylor_description.txt,irate,Inertial_Taylor,all,74
irate_taylor.pdf,irate_taylor_description.txt,irate,Taylor,all,74
irate_growth.pdf,irate_growth_description.txt,irate,Growth,all,76
irate_estimated.pdf,irate_estimated_description.txt,irate,all,estimated,131
irate_calibrated.pdf,irate_calibrated_description.txt,irate,all,calibrated,92
irate_estimated_inertial_taylor.pdf,irate_estimated_inertial_taylor_description.txt,irate,Inertial_Taylor,estimated,44
irate_estimated_taylor.pdf,irate_estimated_taylor_description.txt,irate,Taylor,estimated,44
irate_estimated_growth.pdf,irate_estimated_growth_description.txt,irate,Growth,estimated,45
irate_calibrated_inertial_taylor.pdf,irate_calibrated_inertial_taylor_description.txt,irate,Inertial_Taylor,calibrated,31
irate_calibrated_taylor.pdf,irate_calibrated_taylor_description.txt,irate,Taylor,calibrated,31
irate_calibrated_growth.pdf,irate_calibrated_growth_description.txt,irate,Growth,calibrated,32
rrate_all.pdf,rrate_all_description.txt,rrate,all,all,223
rrate_inertial_taylor.pdf,rrate_inertial_taylor_description.txt,rrate,Inertial_Taylor,all,74
rrate_taylor.pdf,rrate_taylor_description.txt,rrate,Taylor,all,74
rrate_growth.pdf,rrate_growth_description.txt,rrate,Growth,all,76
rrate_estimated.pdf,rrate_estimated_description.txt,rrate,all,estimated,131
rrate_calibrated.pdf,rrate_calibrated_description.txt,rrate,all,calibrated,92
rrate_estimated_inertial_taylor.pdf,rrate_estimated_inertial_taylor_description.txt,rrate,Inertial_Taylor,estimated,44
rrate_estimated_taylor.pdf,rrate_estimated_taylor_description.txt,rrate,Taylor,estimated,44
rrate_estimated_growth.pdf,rrate_estimated_growth_description.txt,rrate,Growth,estimated,45
rrate_calibrated_inertial_taylor.pdf,rrate_calibrated_inertial_taylor_description.txt,rrate,Inertial_Taylor,calibrated,31
rrate_calibrated_taylor.pdf,rrate_calibrated_taylor_description.txt,rrate,Taylor,calibrated,31
rrate_calibrated_growth.pdf,rrate_calibrated_growth_description.txt,rrate,Growth,calibrated,32
