, RLS regressions, (univariate), (Rule: gr)
 LHS vars (rows):,, RHS regressors (columns): ,
,irate_cum20,irate_cum40,irate_cum60
y_cum20,-0.9178,-0.9188,-0.9180
 std err,0.1004,0.0950,0.0921
 t-stat,-9.1459,-9.6769,-9.9685
 p-value,0.0000,0.0000,0.0000
 r^2,-0.3042,-0.3015,-0.2970
 rbar^2,-0.3042,-0.3015,-0.2970
,,,
y_cum40,-1.0048,-0.9803,-0.9808
 std err,0.1157,0.1052,0.1019
 t-stat,-8.6822,-9.3202,-9.6253
 p-value,0.0000,0.0000,0.0000
 r^2,-0.2748,-0.2433,-0.2387
 rbar^2,-0.2748,-0.2433,-0.2387
,,,
y_cum60,-1.0380,-1.0105,-1.0181
 std err,0.1214,0.1090,0.1073
 t-stat,-8.5513,-9.2674,-9.4925
 p-value,0.0000,0.0000,0.0000
 r^2,-0.2876,-0.2482,-0.2533
 rbar^2,-0.2876,-0.2482,-0.2533
,,,
pi_cum20,-0.4546,-0.4418,-0.4373
 std err,0.0502,0.0483,0.0474
 t-stat,-9.0539,-9.1431,-9.2324
 p-value,0.0000,0.0000,0.0000
 r^2,-0.9726,-1.0026,-1.0115
 rbar^2,-0.9726,-1.0026,-1.0115
,,,
pi_cum40,-0.4506,-0.4372,-0.4325
 std err,0.0502,0.0483,0.0474
 t-stat,-8.9669,-9.0455,-9.1309
 p-value,0.0000,0.0000,0.0000
 r^2,-0.7226,-0.7494,-0.7576
 rbar^2,-0.7226,-0.7494,-0.7576
,,,
pi_cum60,-0.4585,-0.4450,-0.4403
 std err,0.0504,0.0486,0.0475
 t-stat,-9.0919,-9.1629,-9.2606
 p-value,0.0000,0.0000,0.0000
 r^2,-0.6928,-0.7140,-0.7243
 rbar^2,-0.6928,-0.7140,-0.7243
