, RLS regressions,univariate, (Rule: tr)
 LHS vars (rows):,, RHS regressors (columns): ,
,irate_cum20,irate_cum40,irate_cum60
y_cum20,-0.1441,-0.1556,-0.1872
 std err,0.0279,0.0245,0.0247
 t-stat,-5.1589,-6.3653,-7.5869
 p-value,0,0,0
 r^2,-0.1499,-0.1778,-0.1986
 rbar^2,-0.1499,-0.1778,-0.1986
,,,
y_cum40,-0.133,-0.1166,-0.1343
 std err,0.026,0.0225,0.0204
 t-stat,-5.1214,-5.1902,-6.5736
 p-value,0,0,0
 r^2,-0.116,-0.1439,-0.1566
 rbar^2,-0.116,-0.1439,-0.1566
,,,
y_cum60,-0.134,-0.1183,-0.1388
 std err,0.0261,0.0226,0.0205
 t-stat,-5.1348,-5.2363,-6.769
 p-value,0,0,0
 r^2,-0.1104,-0.1378,-0.1502
 rbar^2,-0.1104,-0.1378,-0.1502
,,,
pi_cum20,-0.0374,0.256,-0.037
 std err,0.0055,0.0183,0.0045
 t-stat,-6.8384,14.0231,-8.2356
 p-value,0,0,0
 r^2,-0.0094,-1.6709,-0.0137
 rbar^2,-0.0094,-1.6709,-0.0137
,,,
pi_cum40,-0.0374,-0.0374,-0.0373
 std err,0.0057,0.0051,0.0047
 t-stat,-6.5328,-7.3668,-7.9221
 p-value,0,0,0
 r^2,-0.0074,-0.0083,-0.0088
 rbar^2,-0.0074,-0.0083,-0.0088
,,,
pi_cum60,-0.0378,0.4601,0.4617
 std err,0.0058,0.0562,0.0573
 t-stat,-6.5769,8.1915,8.0524
 p-value,0,0,0
 r^2,-0.0095,-2.0014,-1.9642
 rbar^2,-0.0095,-2.0014,-1.9642
