, RLS regressions, (w/o c or rule dummmies)., (Rule: gr),,,
 RHS regressors (rows): ,, LHS vars (columns):,,,,
,y_cum20,y_cum40,y_cum60,pi_cum20,pi_cum40,pi_cum60
rrate_cum20,-0.7284,-0.7783,-0.8121,-0.4224,-0.4661,-0.4333
  std err,0.1191,0.1378,0.1482,0.0221,0.0285,0.0250
  t-stat,-6.1139,-5.6476,-5.4785,-19.0747,-16.3462,-17.2996
  p-value,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
cb_authors_ext,5.0939,5.6917,5.9199,2.6204,2.6156,2.6237
  std err,0.4489,0.5193,0.5585,0.0834,0.1074,0.0944
  t-stat,11.3473,10.9607,10.5989,31.4043,24.3467,27.8015
  p-value,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
product,1.8555,2.0468,2.1150,1.0480,1.0788,1.0603
  std err,0.2395,0.2771,0.2980,0.0445,0.0573,0.0504
  t-stat,7.7464,7.3867,7.0967,23.5377,18.8192,21.0559
  p-value,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
r^2,0.1358,0.1360,0.1284,0.3706,0.3086,0.3157
rbar^2,0.1147,0.1149,0.1072,0.3552,0.2917,0.2990
,,,,,,
rrate_cum40,-0.7352,-0.8001,-0.8181,-0.4245,-0.3763,-0.3653
  std err,0.1243,0.1457,0.1510,0.0193,0.0181,0.0175
  t-stat,-5.9143,-5.4908,-5.4179,-22.0304,-20.7654,-20.9121
  p-value,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
cb_authors_ext,4.8408,5.4026,5.6590,2.6021,2.6040,2.6041
  std err,0.4675,0.5479,0.5678,0.0725,0.0681,0.0657
  t-stat,10.3553,9.8602,9.9666,35.9094,38.2112,39.6396
  p-value,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
product,1.7236,1.8966,1.9927,1.0282,0.9760,0.9682
  std err,0.2448,0.2869,0.2973,0.0379,0.0357,0.0344
  t-stat,7.0410,6.6104,6.7021,27.0978,27.3510,28.1453
  p-value,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
r^2,0.1015,0.0997,0.1043,0.3867,0.3582,0.3534
rbar^2,0.0796,0.0777,0.0824,0.3717,0.3425,0.3376
,,,,,,
rrate_cum60,-0.7366,-0.8089,-0.8272,-0.4520,-0.4533,-0.4457
  std err,0.1236,0.1450,0.1503,0.0203,0.0205,0.0220
  t-stat,-5.9616,-5.5805,-5.5039,-22.2336,-22.0879,-20.2571
  p-value,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
cb_authors_ext,4.6949,5.2583,5.5081,2.5884,2.5896,2.6002
  std err,0.4629,0.5430,0.5630,0.0761,0.0769,0.0824
  t-stat,10.1434,9.6841,9.7839,33.9926,33.6824,31.5489
  p-value,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
product,1.6696,1.8558,1.9476,1.0358,1.0364,1.0292
  std err,0.2406,0.2822,0.2926,0.0396,0.0400,0.0428
  t-stat,6.9401,6.5756,6.6559,26.1722,25.9361,24.0258
  p-value,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
r^2,0.0902,0.0917,0.0967,0.3672,0.3512,0.3453
rbar^2,0.0681,0.0695,0.0747,0.3518,0.3354,0.3293
