, RLS regressions, (w/o c or rule dummmies)., (Rule: itr),,,
 RHS regressors (rows): ,, LHS vars (columns):,,,,
,y_cum20,y_cum40,y_cum60,pi_cum20,pi_cum40,pi_cum60
rrate_cum20,-0.6060,-0.5639,-0.5425,-0.2745,-0.3047,-0.3059
  std err,0.1019,0.1067,0.1002,0.0417,0.0447,0.0432
  t-stat,-5.9477,-5.2833,-5.4121,-6.5769,-6.8229,-7.0857
  p-value,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
cb_authors_ext,3.2227,3.8753,4.0783,1.6238,1.4171,1.4398
  std err,0.5046,0.5286,0.4964,0.2067,0.2212,0.2138
  t-stat,6.3863,7.3314,8.2151,7.8549,6.4075,6.7339
  p-value,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
product,1.1484,1.3454,1.4066,0.6799,0.6149,0.6333
  std err,0.2269,0.2376,0.2232,0.0929,0.0994,0.0961
  t-stat,5.0620,5.6615,6.3026,7.3155,6.1841,6.5882
  p-value,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
r^2,0.0406,0.0509,0.0642,0.0250,-0.0025,0.0027
rbar^2,0.0169,0.0275,0.0411,0.0010,-0.0272,-0.0219
,,,,,,
rrate_cum40,-0.5988,-0.6175,-0.5358,-0.2727,-0.3006,-0.3039
  std err,0.1056,0.1193,0.1000,0.0424,0.0456,0.0458
  t-stat,-5.6732,-5.1765,-5.3576,-6.4304,-6.5911,-6.6394
  p-value,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
cb_authors_ext,2.6337,2.7503,3.9737,1.4458,1.2992,1.2652
  std err,0.5078,0.5739,0.4811,0.2040,0.2194,0.2202
  t-stat,5.1863,4.7924,8.2589,7.0866,5.9205,5.7457
  p-value,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
product,0.9097,0.9424,1.3632,0.6051,0.5597,0.5536
  std err,0.2277,0.2573,0.2157,0.0915,0.0984,0.0987
  t-stat,3.9954,3.6626,6.3194,6.6145,5.6892,5.6071
  p-value,0.0001,0.0002,0.0000,0.0000,0.0000,0.0000
r^2,0.0249,0.0091,0.0607,0.0030,-0.0112,-0.0105
rbar^2,0.0008,-0.0154,0.0375,-0.0217,-0.0362,-0.0354
,,,,,,
rrate_cum60,-0.5858,-0.5964,-0.5290,-0.2674,-0.2983,-0.3011
  std err,0.1064,0.1178,0.1005,0.0439,0.0452,0.0457
  t-stat,-5.5053,-5.0608,-5.2613,-6.0976,-6.6022,-6.5918
  p-value,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
cb_authors_ext,2.4263,2.6239,3.7120,1.3573,1.3207,1.2959
  std err,0.5050,0.5593,0.4772,0.2082,0.2144,0.2168
  t-stat,4.8045,4.6916,7.7796,6.5205,6.1600,5.9779
  p-value,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
product,0.8174,0.8773,1.2566,0.5654,0.5668,0.5627
  std err,0.2273,0.2517,0.2147,0.0937,0.0965,0.0976
  t-stat,3.5967,3.4857,5.8519,6.0359,5.8745,5.7676
  p-value,0.0003,0.0005,0.0000,0.0000,0.0000,0.0000
r^2,0.0217,0.0109,0.0536,-0.0095,-0.0086,-0.0079
rbar^2,-0.0024,-0.0135,0.0303,-0.0344,-0.0335,-0.0328
