, RLS regressions, (w/o c or rule dummmies)., (Rule: tr),,,
 RHS regressors (rows): ,, LHS vars (columns):,,,,
,y_cum20,y_cum40,y_cum60,pi_cum20,pi_cum40,pi_cum60
rrate_cum20,-0.0778,-0.0765,-0.0768,-0.0400,-0.0407,-0.0416
  std err,0.0305,0.0380,0.0398,0.0068,0.0083,0.0082
  t-stat,-2.5530,-2.0111,-1.9304,-5.9040,-4.9107,-5.0407
  p-value,0.0107,0.0443,0.0536,0.0000,0.0000,0.0000
cb_authors_ext,0.6356,0.6663,0.6650,0.1651,0.1411,0.1420
  std err,0.0353,0.0440,0.0461,0.0078,0.0096,0.0095
  t-stat,18.0148,15.1363,14.4384,21.0586,14.7249,14.8777
  p-value,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
product,0.6033,0.6124,0.6052,0.1954,0.1687,0.1702
  std err,0.0489,0.0610,0.0638,0.0109,0.0133,0.0132
  t-stat,12.3355,10.0376,9.4807,17.9793,12.7004,12.8632
  p-value,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
r^2,0.1127,0.1206,0.1167,0.0309,0.0175,0.0165
rbar^2,0.0905,0.0986,0.0947,0.0067,-0.0071,-0.0081
,,,,,,
rrate_cum40,-0.0441,-0.0431,-0.0455,-0.0436,-0.0460,-0.0514
  std err,0.0250,0.0399,0.0425,0.0071,0.0114,0.0121
  t-stat,-1.7674,-1.0788,-1.0704,-6.1397,-4.0528,-4.2633
  p-value,0.0772,0.2807,0.2844,0.0000,0.0001,0.0000
cb_authors_ext,0.6114,0.4888,0.4892,0.2706,0.4296,0.4230
  std err,0.0343,0.0548,0.0583,0.0097,0.0156,0.0166
  t-stat,17.8501,8.9167,8.3911,27.7965,27.5739,25.5547
  p-value,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
product,0.5481,0.3381,0.3264,0.3188,0.5028,0.5026
  std err,0.0442,0.0708,0.0753,0.0126,0.0201,0.0214
  t-stat,12.3890,4.7748,4.3342,25.3505,24.9875,23.5087
  p-value,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
r^2,0.0408,0.0796,0.0775,0.0231,-0.1053,-0.1144
rbar^2,0.0168,0.0566,0.0545,-0.0013,-0.1330,-0.1423
,,,,,,
rrate_cum60,-0.0395,-0.0352,-0.0354,-0.0411,-0.0408,-0.0517
  std err,0.0367,0.0383,0.0385,0.0055,0.0059,0.0106
  t-stat,-1.0753,-0.9212,-0.9205,-7.4359,-6.9345,-4.8929
  p-value,0.2822,0.3569,0.3573,0.0000,0.0000,0.0000
cb_authors_ext,0.4351,0.4582,0.4600,0.2363,0.1088,0.4376
  std err,0.0543,0.0565,0.0568,0.0082,0.0087,0.0156
  t-stat,8.0200,8.1062,8.0948,28.9397,12.5157,28.0050
  p-value,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
product,0.2763,0.2844,0.2805,0.2777,0.1317,0.5200
  std err,0.0679,0.0708,0.0711,0.0102,0.0109,0.0196
  t-stat,4.0692,4.0187,3.9440,27.1721,12.1076,26.5848
  p-value,0.0000,0.0001,0.0001,0.0000,0.0000,0.0000
r^2,0.0557,0.0703,0.0702,0.0521,0.0109,-0.0831
rbar^2,0.0321,0.0470,0.0470,0.0284,-0.0138,-0.1101
