, RLS regressions, (w/o c or rule dummmies)., (Rule: gr),,,
 RHS regressors (rows): ,, LHS vars (columns):,,,,
,y_cum20,y_cum40,y_cum60,pi_cum20,pi_cum40,pi_cum60
rrate_cum20,-0.7430,-0.7848,-0.8204,-0.4772,-0.4760,-0.4776
  std err,0.1202,0.1299,0.1393,0.0401,0.0418,0.0438
  t-stat,-6.1814,-6.0412,-5.8902,-11.8865,-11.3983,-10.8940
  p-value,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
cb_authors,5.1993,5.9007,6.2965,2.8831,2.8286,2.8241
  std err,0.5630,0.6084,0.6523,0.1880,0.1956,0.2053
  t-stat,9.2359,9.6986,9.6525,15.3349,14.4635,13.7559
  p-value,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
product,1.8409,2.1039,2.2377,1.2074,1.1602,1.1549
  std err,0.3040,0.3285,0.3522,0.1015,0.1056,0.1108
  t-stat,6.0564,6.4045,6.3534,11.8943,10.9878,10.4186
  p-value,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
r^2,0.0691,0.0929,0.0931,0.0877,0.0183,-0.0028
rbar^2,0.0464,0.0708,0.0709,0.0654,-0.0057,-0.0273
,,,,,,
rrate_cum40,-0.7495,-0.8045,-0.8204,-0.4614,-0.4592,-0.4610
  std err,0.1239,0.1337,0.1381,0.0392,0.0395,0.0420
  t-stat,-6.0506,-6.0160,-5.9426,-11.7775,-11.6164,-10.9806
  p-value,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
cb_authors,4.8492,5.5780,5.9556,2.8253,2.8104,2.8195
  std err,0.5791,0.6251,0.6453,0.1831,0.1848,0.1962
  t-stat,8.3744,8.9237,9.2287,15.4268,15.2098,14.3676
  p-value,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
product,1.6604,1.9655,2.0936,1.1505,1.1201,1.1160
  std err,0.3061,0.3304,0.3411,0.0968,0.0977,0.1037
  t-stat,5.4250,5.9488,6.1378,11.8852,11.4685,10.7591
  p-value,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
r^2,0.0420,0.0695,0.0808,0.1062,0.0647,0.0421
rbar^2,0.0187,0.0468,0.0584,0.0844,0.0419,0.0187
,,,,,,
rrate_cum60,-0.7544,-0.8438,-0.8462,-0.4531,-0.4508,-0.4539
  std err,0.1259,0.1439,0.1418,0.0400,0.0395,0.0413
  t-stat,-5.9900,-5.8626,-5.9665,-11.3151,-11.4238,-10.9834
  p-value,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
cb_authors,4.6184,5.3216,5.6925,2.7798,2.7824,2.8243
  std err,0.5862,0.6699,0.6601,0.1864,0.1837,0.1924
  t-stat,7.8790,7.9434,8.6234,14.9155,15.1493,14.6831
  p-value,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
product,1.5355,1.8176,1.9858,1.1108,1.0926,1.1014
  std err,0.3073,0.3513,0.3461,0.0977,0.0963,0.1009
  t-stat,4.9963,5.1744,5.7376,11.3674,11.3458,10.9207
  p-value,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
r^2,0.0276,0.0416,0.0651,0.0827,0.0589,0.0371
rbar^2,0.0039,0.0182,0.0423,0.0604,0.0359,0.0136
