, RLS regressions, (w/o c or rule dummmies)., (Rule: itr),,,
 RHS regressors (rows): ,, LHS vars (columns):,,,,
,y_cum20,y_cum40,y_cum60,pi_cum20,pi_cum40,pi_cum60
rrate_cum20,-0.5348,-0.5144,-0.5113,-0.2472,-0.2657,-0.2704
  std err,0.0777,0.0766,0.0738,0.0403,0.0432,0.0430
  t-stat,-6.8865,-6.7140,-6.9258,-6.1361,-6.1455,-6.2820
  p-value,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
cb_authors,4.8771,5.3657,5.4967,1.8825,1.4648,1.4784
  std err,0.5119,0.5050,0.4867,0.2655,0.2850,0.2838
  t-stat,9.5281,10.6252,11.2948,7.0899,5.1394,5.2103
  p-value,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
product,1.6741,1.8254,1.8665,0.7521,0.5916,0.6104
  std err,0.2307,0.2276,0.2193,0.1196,0.1284,0.1279
  t-stat,7.2581,8.0214,8.5114,6.2859,4.6065,4.7737
  p-value,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
r^2,0.1006,0.1049,0.1134,-0.0365,-0.0614,-0.0549
rbar^2,0.0784,0.0828,0.0915,-0.0621,-0.0876,-0.0809
,,,,,,
rrate_cum40,-0.6051,-0.5990,-0.5105,-0.2424,-0.2611,-0.2633
  std err,0.0929,0.1016,0.0755,0.0429,0.0439,0.0440
  t-stat,-6.5132,-5.8969,-6.7619,-5.6484,-5.9427,-5.9801
  p-value,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
cb_authors,2.7793,3.5781,5.4120,1.4220,1.2814,1.2525
  std err,0.5852,0.6399,0.4755,0.2703,0.2767,0.2773
  t-stat,4.7490,5.5921,11.3808,5.2609,4.6305,4.5161
  p-value,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
product,0.9330,1.2067,1.8396,0.5607,0.5071,0.5043
  std err,0.2605,0.2848,0.2117,0.1203,0.1232,0.1235
  t-stat,3.5813,4.2368,8.6907,4.6598,4.1166,4.0849
  p-value,0.0003,0.0000,0.0000,0.0000,0.0000,0.0000
r^2,-0.0181,-0.0044,0.1015,-0.0681,-0.0672,-0.0621
rbar^2,-0.0432,-0.0292,0.0794,-0.0945,-0.0935,-0.0883
,,,,,,
rrate_cum60,-0.5974,-0.6029,-0.5124,-0.2415,-0.2602,-0.2614
  std err,0.0935,0.1096,0.0784,0.0433,0.0433,0.0438
  t-stat,-6.3859,-5.5015,-6.5385,-5.5779,-6.0068,-5.9621
  p-value,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
cb_authors,2.5063,2.3270,5.1739,1.3144,1.3184,1.3049
  std err,0.5775,0.6765,0.4838,0.2672,0.2674,0.2706
  t-stat,4.3403,3.4399,10.6954,4.9185,4.9301,4.8216
  p-value,0.0000,0.0006,0.0000,0.0000,0.0000,0.0000
product,0.8169,0.6939,1.7459,0.5175,0.5233,0.5232
  std err,0.2583,0.3026,0.2164,0.1195,0.1196,0.1211
  t-stat,3.1624,2.2934,8.0685,4.3289,4.3744,4.3216
  p-value,0.0016,0.0218,0.0000,0.0000,0.0000,0.0000
r^2,-0.0221,-0.0161,0.0770,-0.0749,-0.0645,-0.0593
rbar^2,-0.0474,-0.0412,0.0542,-0.1014,-0.0908,-0.0855
