, RLS regressions, (w/o c or rule dummmies)., (Rule: all),,,
 RHS regressors (rows): ,, LHS vars (columns):,,,,
,y_cum20,y_cum40,y_cum60,pi_cum20,pi_cum40,pi_cum60
rrate_cum20,-0.7163,-0.7870,-0.8048,-0.3996,-0.4007,-0.3966
  std err,0.0525,0.0587,0.0590,0.0297,0.0323,0.0333
  t-stat,-13.6551,-13.4191,-13.6387,-13.4422,-12.4097,-11.9159
  p-value,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
estimated,-0.0035,0.0780,0.1437,0.1041,0.0815,0.0680
  std err,0.1907,0.2132,0.2145,0.1081,0.1174,0.1210
  t-stat,-0.0185,0.3656,0.6697,0.9633,0.6940,0.5618
  p-value,0.9853,0.7146,0.5031,0.3354,0.4877,0.5743
product,0.1327,0.2121,0.2642,0.1995,0.1704,0.1604
  std err,0.1011,0.1130,0.1137,0.0573,0.0622,0.0641
  t-stat,1.3121,1.8760,2.3231,3.4822,2.7378,2.5015
  p-value,0.1895,0.0607,0.0202,0.0005,0.0062,0.0124
r^2,0.1125,0.0899,0.0798,0.0987,0.0923,0.0874
rbar^2,0.1054,0.0826,0.0724,0.0914,0.0850,0.0800
,,,,,,
rrate_cum40,-0.7156,-0.7908,-0.8118,-0.3974,-0.4020,-0.3998
  std err,0.0496,0.0568,0.0578,0.0291,0.0323,0.0335
  t-stat,-14.4235,-13.9247,-14.0475,-13.6683,-12.4286,-11.9421
  p-value,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
estimated,-0.0356,0.0222,0.1120,0.1367,0.1648,0.1684
  std err,0.1778,0.2035,0.2071,0.1042,0.1159,0.1200
  t-stat,-0.2000,0.1089,0.5409,1.3118,1.4219,1.4039
  p-value,0.8415,0.9133,0.5886,0.1896,0.1551,0.1604
product,0.1223,0.1795,0.2447,0.2165,0.2121,0.2112
  std err,0.0933,0.1068,0.1087,0.0547,0.0608,0.0630
  t-stat,1.3102,1.6798,2.2509,3.9573,3.4867,3.3530
  p-value,0.1901,0.0930,0.0244,0.0001,0.0005,0.0008
r^2,0.1211,0.0944,0.0793,0.0968,0.0783,0.0712
rbar^2,0.1140,0.0871,0.0719,0.0895,0.0709,0.0638
,,,,,,
rrate_cum60,-0.7148,-0.8090,-0.8220,-0.3996,-0.4042,-0.4054
  std err,0.0483,0.0563,0.0566,0.0292,0.0325,0.0340
  t-stat,-14.7960,-14.3682,-14.5165,-13.6826,-12.4184,-11.9233
  p-value,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
estimated,-0.0586,0.0050,0.0964,0.1744,0.2209,0.2473
  std err,0.1716,0.2000,0.2011,0.1037,0.1156,0.1207
  t-stat,-0.3416,0.0250,0.4794,1.6815,1.9109,2.0482
  p-value,0.7326,0.9801,0.6317,0.0927,0.0560,0.0405
product,0.1072,0.1783,0.2421,0.2336,0.2395,0.2488
  std err,0.0898,0.1047,0.1053,0.0543,0.0605,0.0632
  t-stat,1.1938,1.7033,2.2999,4.3039,3.9579,3.9364
  p-value,0.2326,0.0885,0.0215,0.0000,0.0001,0.0001
r^2,0.1266,0.0964,0.0820,0.0890,0.0688,0.0553
rbar^2,0.1196,0.0891,0.0747,0.0817,0.0613,0.0478
