, RLS regressions, (w/o c or rule dummmies)., (Rule: gr),,,
 RHS regressors (rows): ,, LHS vars (columns):,,,,
,y_cum20,y_cum40,y_cum60,pi_cum20,pi_cum40,pi_cum60
rrate_cum20,-0.9051,-0.9686,-0.9977,-0.6080,-0.6117,-0.6114
  std err,0.1901,0.1988,0.2123,0.0369,0.0509,0.0567
  t-stat,-4.7623,-4.8721,-4.6982,-16.4638,-12.0098,-10.7827
  p-value,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
estimated,7.1700,7.0589,7.8925,2.7900,2.6657,2.6296
  std err,1.3793,1.4427,1.5410,0.2680,0.3696,0.4115
  t-stat,5.1984,4.8927,5.1216,10.4106,7.2120,6.3908
  p-value,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
product,2.6648,2.6514,2.9279,1.2859,1.2178,1.1943
  std err,0.5986,0.6261,0.6688,0.1163,0.1604,0.1786
  t-stat,4.4521,4.2347,4.3781,11.0561,7.5919,6.6880
  p-value,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
r^2,-0.1731,-0.1435,-0.1430,-0.1269,-0.3984,-0.4444
rbar^2,-0.2017,-0.1713,-0.1709,-0.1544,-0.4325,-0.4796
,,,,,,
rrate_cum40,-0.8955,-0.9644,-0.9874,-0.5997,-0.5993,-0.6067
  std err,0.1954,0.2032,0.2278,0.0326,0.0343,0.0404
  t-stat,-4.5834,-4.7454,-4.3338,-18.4120,-17.4980,-15.0056
  p-value,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
estimated,5.5992,5.2746,6.5379,2.6770,2.7028,2.7055
  std err,1.3643,1.4191,1.5909,0.2274,0.2392,0.2823
  t-stat,4.1042,3.7168,4.1095,11.7696,11.3003,9.5827
  p-value,0.0000,0.0002,0.0000,0.0000,0.0000,0.0000
product,1.9933,1.9183,2.3072,1.2185,1.2097,1.2099
  std err,0.5802,0.6035,0.6766,0.0967,0.1017,0.1201
  t-stat,3.4355,3.1784,3.4100,12.5963,11.8919,10.0760
  p-value,0.0006,0.0015,0.0006,0.0000,0.0000,0.0000
r^2,-0.2201,-0.1851,-0.1958,-0.0329,-0.0664,-0.1769
rbar^2,-0.2499,-0.2141,-0.2249,-0.0581,-0.0924,-0.2057
,,,,,,
rrate_cum60,-0.8960,-0.9683,-0.9887,-0.6003,-0.6050,-0.6063
  std err,0.1716,0.2126,0.2252,0.0333,0.0365,0.0394
  t-stat,-5.2202,-4.5556,-4.3895,-18.0116,-16.5888,-15.4015
  p-value,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
estimated,2.3257,3.9474,4.7753,2.5501,2.6170,2.6809
  std err,1.1479,1.4214,1.5063,0.2229,0.2439,0.2632
  t-stat,2.0261,2.7771,3.1703,11.4420,10.7297,10.1843
  p-value,0.0427,0.0055,0.0015,0.0000,0.0000,0.0000
product,0.7875,1.3383,1.6363,1.1582,1.1720,1.1894
  std err,0.4838,0.5990,0.6348,0.0939,0.1028,0.1109
  t-stat,1.6278,2.2341,2.5776,12.3306,11.4019,10.7214
  p-value,0.1036,0.0255,0.0099,0.0000,0.0000,0.0000
r^2,-0.2201,-0.2136,-0.2086,-0.0504,-0.1441,-0.1687
rbar^2,-0.2498,-0.2433,-0.2380,-0.0760,-0.1720,-0.1972
