, RLS regressions, (w/o c or rule dummmies)., (Rule: itr),,,
 RHS regressors (rows): ,, LHS vars (columns):,,,,
,y_cum20,y_cum40,y_cum60,pi_cum20,pi_cum40,pi_cum60
rrate_cum20,-0.8563,-0.9097,-0.9163,-0.3722,-0.3715,-0.3672
  std err,0.1150,0.1355,0.1342,0.0421,0.0432,0.0416
  t-stat,-7.4474,-6.7132,-6.8255,-8.8419,-8.5956,-8.8292
  p-value,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
estimated,1.6404,1.5288,2.2405,2.5349,2.2299,2.2945
  std err,1.0967,1.2925,1.2804,0.4015,0.4123,0.3967
  t-stat,1.4958,1.1829,1.7498,6.3132,5.4089,5.7837
  p-value,0.1347,0.2369,0.0802,0.0000,0.0000,0.0000
product,0.8362,0.8186,1.1099,1.1004,0.9648,0.9919
  std err,0.4134,0.4872,0.4827,0.1514,0.1554,0.1496
  t-stat,2.0227,1.6801,2.2994,7.2699,6.2078,6.6326
  p-value,0.0431,0.0929,0.0215,0.0000,0.0000,0.0000
r^2,-0.1319,-0.1057,-0.0906,0.0515,0.0049,0.0102
rbar^2,-0.1598,-0.1330,-0.1175,0.0281,-0.0197,-0.0142
,,,,,,
rrate_cum40,-0.8649,-0.9635,-0.9504,-0.3703,-0.3751,-0.3745
  std err,0.1135,0.1375,0.1396,0.0415,0.0459,0.0473
  t-stat,-7.6202,-7.0097,-6.8085,-8.9346,-8.1803,-7.9158
  p-value,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
estimated,0.9778,-0.0332,0.8990,2.4856,1.8907,1.8426
  std err,0.9883,1.1968,1.2155,0.3609,0.3993,0.4120
  t-stat,0.9894,-0.0277,0.7396,6.8870,4.7354,4.4725
  p-value,0.3225,0.9779,0.4595,0.0000,0.0000,0.0000
product,0.6058,0.2779,0.6345,1.0860,0.8370,0.8165
  std err,0.3713,0.4496,0.4566,0.1356,0.1500,0.1548
  t-stat,1.6317,0.6182,1.3895,8.0093,5.5804,5.2753
  p-value,0.1027,0.5365,0.1647,0.0000,0.0000,0.0000
r^2,-0.1239,-0.1035,-0.0938,0.0138,-0.0212,-0.0236
rbar^2,-0.1516,-0.1308,-0.1208,-0.0106,-0.0464,-0.0488
,,,,,,
rrate_cum60,-0.8633,-0.9610,-0.9235,-0.3698,-0.3734,-0.3703
  std err,0.1130,0.1361,0.1362,0.0431,0.0447,0.0462
  t-stat,-7.6379,-7.0613,-6.7830,-8.5821,-8.3527,-8.0124
  p-value,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
estimated,0.8377,-0.1878,0.7199,2.2581,1.9222,1.9930
  std err,0.9340,1.1247,1.1251,0.3561,0.3694,0.3819
  t-stat,0.8969,-0.1670,0.6398,6.3409,5.2035,5.2182
  p-value,0.3698,0.8674,0.5223,0.0000,0.0000,0.0000
product,0.5533,0.2175,0.5490,1.0047,0.8496,0.8685
  std err,0.3527,0.4248,0.4249,0.1345,0.1395,0.1442
  t-stat,1.5686,0.5121,1.2919,7.4699,6.0896,6.0210
  p-value,0.1167,0.6086,0.1964,0.0000,0.0000,0.0000
r^2,-0.1198,-0.0939,-0.0855,-0.0049,-0.0162,-0.0152
rbar^2,-0.1474,-0.1209,-0.1123,-0.0297,-0.0413,-0.0402
