, RLS regressions, (w/o c or rule dummmies)., (Rule: tr),,,
 RHS regressors (rows): ,, LHS vars (columns):,,,,
,y_cum20,y_cum40,y_cum60,pi_cum20,pi_cum40,pi_cum60
rrate_cum20,-0.1976,-0.2106,-0.2225,-0.0514,-0.0504,-0.0518
  std err,0.0192,0.0250,0.0234,0.0068,0.0076,0.0075
  t-stat,-10.3155,-8.4387,-9.4997,-7.5842,-6.6693,-6.8913
  p-value,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
estimated,0.5831,0.6081,0.6044,0.4823,0.4816,0.4820
  std err,0.0268,0.0349,0.0328,0.0095,0.0106,0.0105
  t-stat,21.7700,17.4208,18.4534,50.9278,45.5405,45.8294
  p-value,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
product,0.7124,0.7452,0.7580,0.5458,0.5428,0.5440
  std err,0.0330,0.0430,0.0403,0.0117,0.0130,0.0129
  t-stat,21.6050,17.3418,18.8004,46.8221,41.6933,42.0132
  p-value,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
r^2,0.1248,0.1103,0.1132,0.1925,0.0815,0.0842
rbar^2,0.1029,0.0881,0.0910,0.1723,0.0585,0.0613
,,,,,,
rrate_cum40,-0.2048,-0.2200,-0.2259,-0.0504,-0.0506,-0.0530
  std err,0.0188,0.0163,0.0165,0.0053,0.0056,0.0065
  t-stat,-10.8871,-13.5275,-13.7092,-9.4715,-8.9969,-8.1031
  p-value,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
estimated,0.4756,0.5739,0.5746,0.2942,0.4812,0.5007
  std err,0.0295,0.0255,0.0258,0.0084,0.0088,0.0103
  t-stat,16.1234,22.5022,22.2354,35.2183,54.5490,48.8210
  p-value,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
product,0.5999,0.7311,0.7389,0.3412,0.5422,0.5642
  std err,0.0345,0.0298,0.0302,0.0098,0.0103,0.0120
  t-stat,17.4019,24.5318,24.4661,34.9591,52.5987,47.0709
  p-value,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
r^2,0.0687,0.0957,0.0959,0.1288,0.1426,0.1117
rbar^2,0.0455,0.0730,0.0733,0.1070,0.1212,0.0895
,,,,,,
rrate_cum60,-0.2113,-0.2213,-0.2264,-0.0507,-0.0509,-0.0521
  std err,0.0186,0.0152,0.0150,0.0048,0.0059,0.0053
  t-stat,-11.3751,-14.5616,-15.1245,-10.4980,-8.6461,-9.8793
  p-value,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
estimated,0.3327,0.5564,0.5573,0.2535,0.4828,0.4889
  std err,0.0309,0.0253,0.0249,0.0080,0.0098,0.0088
  t-stat,10.7581,21.9823,22.3538,31.5441,49.2087,55.6388
  p-value,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
product,0.4309,0.7124,0.7210,0.2978,0.5474,0.5517
  std err,0.0352,0.0288,0.0283,0.0091,0.0112,0.0100
  t-stat,12.2533,24.7511,25.4320,32.5833,49.0668,55.2144
  p-value,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
r^2,0.0465,0.0893,0.0921,0.1250,0.1345,0.1420
rbar^2,0.0226,0.0665,0.0694,0.1032,0.1128,0.1205
