, RLS regressions, (w/o c or rule dummmies)., (Rule: all),,,
 RHS regressors (rows): ,, LHS vars (columns):,,,,
,y_cum20,y_cum40,y_cum60,pi_cum20,pi_cum40,pi_cum60
rrate_cum20,-0.5571,-0.5603,-0.5626,-0.2865,-0.3018,-0.3119
  std err,0.0349,0.0372,0.0370,0.0212,0.0225,0.0240
  t-stat,-15.9550,-15.0526,-15.2004,-13.5201,-13.3895,-12.9826
  p-value,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
ntwrth,0.2968,0.3751,0.4945,-0.0303,-0.0725,-0.0451
  std err,0.2150,0.2292,0.2279,0.1305,0.1388,0.1479
  t-stat,1.3805,1.6369,2.1698,-0.2326,-0.5223,-0.3049
  p-value,0.1674,0.1017,0.0300,0.8161,0.6014,0.7604
product,-0.0779,-0.1625,-0.0913,-0.0096,-0.0244,0.0001
  std err,0.1161,0.1237,0.1230,0.0704,0.0749,0.0799
  t-stat,-0.6714,-1.3137,-0.7420,-0.1365,-0.3259,0.0015
  p-value,0.5019,0.1889,0.4581,0.8914,0.7445,0.9988
r^2,0.1295,0.1148,0.1086,0.0666,0.0754,0.0599
rbar^2,0.1225,0.1077,0.1015,0.0591,0.0680,0.0524
,,,,,,
rrate_cum40,-0.5635,-0.5638,-0.5691,-0.2857,-0.3007,-0.3055
  std err,0.0344,0.0366,0.0379,0.0213,0.0229,0.0240
  t-stat,-16.3904,-15.3887,-15.0231,-13.4281,-13.1263,-12.7283
  p-value,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
ntwrth,0.3357,0.2739,0.3356,0.0408,0.0278,0.0504
  std err,0.2078,0.2214,0.2289,0.1286,0.1385,0.1451
  t-stat,1.6156,1.2369,1.4659,0.3175,0.2010,0.3477
  p-value,0.1062,0.2161,0.1427,0.7509,0.8407,0.7281
product,-0.0393,-0.2421,-0.2497,0.0408,0.0379,0.0563
  std err,0.1083,0.1154,0.1193,0.0670,0.0722,0.0756
  t-stat,-0.3631,-2.0978,-2.0928,0.6085,0.5249,0.7450
  p-value,0.7165,0.0359,0.0364,0.5428,0.5997,0.4563
r^2,0.1298,0.1210,0.1089,0.0562,0.0536,0.0456
rbar^2,0.1229,0.1139,0.1017,0.0486,0.0460,0.0380
,,,,,,
rrate_cum60,-0.5759,-0.5722,-0.5820,-0.2859,-0.2991,-0.3010
  std err,0.0340,0.0359,0.0380,0.0214,0.0232,0.0241
  t-stat,-16.9332,-15.9247,-15.2981,-13.3867,-12.8735,-12.4860
  p-value,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
ntwrth,0.3552,0.2824,0.3387,0.0713,0.0729,0.0896
  std err,0.2043,0.2158,0.2285,0.1283,0.1395,0.1448
  t-stat,1.7386,1.3083,1.4818,0.5557,0.5224,0.6188
  p-value,0.0821,0.1908,0.1384,0.5784,0.6014,0.5361
product,-0.0170,-0.2255,-0.2620,0.0592,0.0591,0.0723
  std err,0.1052,0.1112,0.1177,0.0661,0.0719,0.0746
  t-stat,-0.1614,-2.0290,-2.2257,0.8951,0.8217,0.9698
  p-value,0.8718,0.0425,0.0260,0.3707,0.4112,0.3322
r^2,0.1322,0.1235,0.1099,0.0495,0.0399,0.0350
rbar^2,0.1252,0.1164,0.1028,0.0419,0.0322,0.0273
