, RLS regressions, (w/o c or rule dummmies)., (Rule: gr),,,
 RHS regressors (rows): ,, LHS vars (columns):,,,,
,y_cum20,y_cum40,y_cum60,pi_cum20,pi_cum40,pi_cum60
rrate_cum20,-0.8249,-0.8713,-0.8961,-0.4345,-0.4439,-0.4570
  std err,0.0991,0.1088,0.1139,0.0425,0.0407,0.0423
  t-stat,-8.3276,-8.0068,-7.8704,-10.2233,-10.9199,-10.7984
  p-value,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
ntwrth,5.6789,6.4362,6.9212,2.5731,2.5977,2.6000
  std err,0.6742,0.7406,0.7749,0.2893,0.2767,0.2880
  t-stat,8.4237,8.6904,8.9322,8.8947,9.3893,9.0268
  p-value,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
product,1.7735,1.9349,2.1022,1.0008,0.9966,1.0013
  std err,0.3401,0.3736,0.3909,0.1459,0.1396,0.1453
  t-stat,5.2148,5.1791,5.3782,6.8577,7.1411,6.8913
  p-value,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
r^2,0.0571,0.0852,0.0881,-0.3006,-0.2355,-0.2417
rbar^2,0.0341,0.0629,0.0659,-0.3323,-0.2656,-0.2720
,,,,,,
rrate_cum40,-0.8454,-0.9030,-0.9274,-0.4229,-0.4333,-0.4423
  std err,0.0995,0.1114,0.1175,0.0412,0.0401,0.0422
  t-stat,-8.4984,-8.1054,-7.8903,-10.2640,-10.7934,-10.4917
  p-value,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
ntwrth,5.4832,6.2499,6.7515,2.5632,2.5925,2.5968
  std err,0.6732,0.7539,0.7954,0.2788,0.2716,0.2853
  t-stat,8.1454,8.2901,8.4883,9.1931,9.5440,9.1026
  p-value,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
product,1.6391,1.7896,1.9563,0.9660,0.9660,0.9684
  std err,0.3272,0.3665,0.3866,0.1355,0.1320,0.1387
  t-stat,5.0089,4.8832,5.0597,7.1273,7.3155,6.9833
  p-value,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
r^2,0.0532,0.0739,0.0778,-0.2817,-0.2351,-0.2421
rbar^2,0.0301,0.0514,0.0553,-0.3130,-0.2653,-0.2724
,,,,,,
rrate_cum60,-0.8548,-0.9232,-0.9506,-0.4172,-0.4275,-0.4331
  std err,0.0987,0.1128,0.1211,0.0404,0.0406,0.0429
  t-stat,-8.6569,-8.1862,-7.8492,-10.3178,-10.5251,-10.1006
  p-value,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
ntwrth,5.3726,6.1495,6.6785,2.5533,2.5850,2.5908
  std err,0.6656,0.7602,0.8163,0.2725,0.2738,0.2891
  t-stat,8.0721,8.0896,8.1811,9.3687,9.4414,8.9629
  p-value,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
product,1.5695,1.7120,1.8689,0.9428,0.9440,0.9436
  std err,0.3161,0.3611,0.3877,0.1295,0.1300,0.1373
  t-stat,4.9646,4.7414,4.8199,7.2831,7.2588,6.8724
  p-value,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
r^2,0.0560,0.0702,0.0696,-0.2640,-0.2460,-0.2605
rbar^2,0.0329,0.0475,0.0469,-0.2948,-0.2764,-0.2913
