, RLS regressions, (w/o c or rule dummmies)., (Rule: itr),,,
 RHS regressors (rows): ,, LHS vars (columns):,,,,
,y_cum20,y_cum40,y_cum60,pi_cum20,pi_cum40,pi_cum60
rrate_cum20,-0.5555,-0.5432,-0.5415,-0.2470,-0.2609,-0.2643
  std err,0.0512,0.0527,0.0495,0.0322,0.0323,0.0325
  t-stat,-10.8521,-10.3037,-10.9304,-7.6777,-8.0664,-8.1296
  p-value,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
ntwrth,5.1378,5.9405,6.3199,1.3509,1.2318,1.2022
  std err,0.8019,0.8259,0.7761,0.5039,0.5066,0.5093
  t-stat,6.4073,7.1928,8.1431,2.6809,2.4315,2.3605
  p-value,0.0000,0.0000,0.0000,0.0073,0.0150,0.0183
product,1.6457,1.9092,2.0473,0.5830,0.5178,0.5086
  std err,0.3231,0.3328,0.3128,0.2031,0.2042,0.2053
  t-stat,5.0926,5.7361,6.5457,2.8709,2.5364,2.4777
  p-value,0.0000,0.0000,0.0000,0.0041,0.0112,0.0132
r^2,0.1868,0.1956,0.1925,-0.1356,-0.1185,-0.1065
rbar^2,0.1668,0.1757,0.1726,-0.1637,-0.1462,-0.1338
,,,,,,
rrate_cum40,-0.5576,-0.5456,-0.5486,-0.2513,-0.2600,-0.2611
  std err,0.0537,0.0510,0.0514,0.0332,0.0331,0.0333
  t-stat,-10.3755,-10.6979,-10.6834,-7.5784,-7.8448,-7.8439
  p-value,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
ntwrth,4.5447,6.1206,6.4773,1.0262,0.9619,0.9424
  std err,0.7473,0.7091,0.7140,0.4610,0.4608,0.4628
  t-stat,6.0816,8.6312,9.0717,2.2259,2.0872,2.0365
  p-value,0.0000,0.0000,0.0000,0.0260,0.0369,0.0417
product,1.3801,1.9919,2.0994,0.4439,0.3939,0.3873
  std err,0.2905,0.2757,0.2776,0.1792,0.1792,0.1799
  t-stat,4.7501,7.2248,7.5627,2.4765,2.1985,2.1526
  p-value,0.0000,0.0000,0.0000,0.0133,0.0279,0.0313
r^2,0.1609,0.1965,0.1912,-0.1499,-0.1329,-0.1216
rbar^2,0.1402,0.1767,0.1713,-0.1783,-0.1609,-0.1493
,,,,,,
rrate_cum60,-0.5623,-0.5494,-0.5523,-0.2530,-0.2587,-0.2579
  std err,0.0538,0.0507,0.0511,0.0335,0.0336,0.0334
  t-stat,-10.4525,-10.8357,-10.8186,-7.5621,-7.7057,-7.7156
  p-value,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
ntwrth,4.4479,6.1207,6.4776,0.9785,0.9248,0.9071
  std err,0.7221,0.6805,0.6852,0.4491,0.4505,0.4487
  t-stat,6.1600,8.9941,9.4538,2.1791,2.0528,2.0217
  p-value,0.0000,0.0000,0.0000,0.0293,0.0401,0.0432
product,1.3428,1.9956,2.1031,0.4260,0.3765,0.3690
  std err,0.2793,0.2632,0.2650,0.1737,0.1743,0.1736
  t-stat,4.8081,7.5817,7.9355,2.4528,2.1606,2.1259
  p-value,0.0000,0.0000,0.0000,0.0142,0.0307,0.0335
r^2,0.1592,0.2008,0.1955,-0.1508,-0.1403,-0.1288
rbar^2,0.1385,0.1811,0.1756,-0.1793,-0.1685,-0.1567
