, RLS regressions, (w/o c or rule dummmies)., (Rule: tr),,,
 RHS regressors (rows): ,, LHS vars (columns):,,,,
,y_cum20,y_cum40,y_cum60,pi_cum20,pi_cum40,pi_cum60
rrate_cum20,-0.1131,-0.1122,-0.1136,-0.0390,-0.0391,-0.0389
  std err,0.0181,0.0226,0.0240,0.0057,0.0058,0.0058
  t-stat,-6.2306,-4.9720,-4.7322,-6.8053,-6.7848,-6.6529
  p-value,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
ntwrth,1.8837,2.0727,2.2245,0.1182,0.1268,0.1359
  std err,0.0949,0.1180,0.1255,0.0299,0.0302,0.0306
  t-stat,19.8551,17.5610,17.7237,3.9493,4.2067,4.4462
  p-value,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000
product,1.9334,2.0977,2.2513,0.1446,0.1537,0.1628
  std err,0.1157,0.1439,0.1530,0.0365,0.0368,0.0373
  t-stat,16.7119,14.5750,14.7097,3.9632,4.1794,4.3666
  p-value,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000
r^2,0.1588,0.1339,0.1208,0.0246,0.0216,0.0260
rbar^2,0.1377,0.1123,0.0989,0.0002,-0.0029,0.0016
,,,,,,
rrate_cum40,-0.0923,-0.0957,-0.0959,-0.0396,-0.0395,-0.0392
  std err,0.0295,0.0276,0.0286,0.0059,0.0052,0.0052
  t-stat,-3.1323,-3.4697,-3.3492,-6.6898,-7.6649,-7.5592
  p-value,0.0017,0.0005,0.0008,0.0000,0.0000,0.0000
ntwrth,0.6638,0.7897,0.7856,0.2489,0.1137,0.1238
  std err,0.1288,0.1206,0.1252,0.0259,0.0225,0.0226
  t-stat,5.1547,6.5458,6.2738,9.6250,5.0460,5.4672
  p-value,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
product,0.3996,0.5756,0.5562,0.2945,0.1378,0.1469
  std err,0.1524,0.1428,0.1482,0.0306,0.0267,0.0268
  t-stat,2.6222,4.0315,3.7532,9.6221,5.1634,5.4814
  p-value,0.0087,0.0001,0.0002,0.0000,0.0000,0.0000
r^2,0.0379,0.0452,0.0350,0.0548,0.0196,0.0238
rbar^2,0.0139,0.0214,0.0109,0.0311,-0.0049,-0.0006
,,,,,,
rrate_cum60,-0.0890,-0.0959,-0.0940,-0.0395,-0.0409,-0.0406
  std err,0.0280,0.0257,0.0266,0.0052,0.0065,0.0073
  t-stat,-3.1843,-3.7243,-3.5336,-7.5407,-6.2720,-5.5793
  p-value,0.0015,0.0002,0.0004,0.0000,0.0000,0.0000
ntwrth,0.6018,0.7190,0.7138,0.2344,0.3622,0.4169
  std err,0.1220,0.1123,0.1160,0.0229,0.0285,0.0317
  t-stat,4.9336,6.4022,6.1526,10.2557,12.7276,13.1462
  p-value,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
product,0.3039,0.4903,0.4734,0.2783,0.4192,0.4778
  std err,0.1438,0.1324,0.1368,0.0269,0.0335,0.0374
  t-stat,2.1135,3.7040,3.4615,10.3289,12.4985,12.7817
  p-value,0.0346,0.0002,0.0005,0.0000,0.0000,0.0000
r^2,0.0253,0.0303,0.0203,0.0701,-0.0167,-0.0465
rbar^2,0.0009,0.0061,-0.0042,0.0469,-0.0421,-0.0727
