, RLS regressions, (w/o c or rule dummmies)., (Rule: all),,,
 RHS regressors (rows): ,, LHS vars (columns):,,,,
,y_cum20,y_cum40,y_cum60,pi_cum20,pi_cum40,pi_cum60
rrate_cum20,-0.5845,-0.6099,-0.5986,-0.2987,-0.3007,-0.3141
  std err,0.0493,0.0546,0.0542,0.0390,0.0317,0.0336
  t-stat,-11.8661,-11.1775,-11.0380,-7.6544,-9.4901,-9.3551
  p-value,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
other_channel,0.4431,0.5445,0.5827,0.7218,0.0617,0.0846
  std err,0.1135,0.1257,0.1249,0.0899,0.0730,0.0773
  t-stat,3.9053,4.3319,4.6649,8.0316,0.8449,1.0945
  p-value,0.0001,0.0000,0.0000,0.0000,0.3982,0.2737
product,0.1355,0.1476,0.1476,0.3253,0.0244,0.0486
  std err,0.0739,0.0819,0.0814,0.0586,0.0476,0.0504
  t-stat,1.8322,1.8017,1.8133,5.5535,0.5127,0.9647
  p-value,0.0669,0.0716,0.0698,0.0000,0.6081,0.3347
r^2,0.1250,0.1030,0.0948,-0.0100,0.0670,0.0570
rbar^2,0.1180,0.0958,0.0875,-0.0181,0.0595,0.0494
,,,,,,
rrate_cum40,-0.5930,-0.6229,-0.6102,-0.2998,-0.2996,-0.3064
  std err,0.0499,0.0558,0.0557,0.0398,0.0325,0.0340
  t-stat,-11.8900,-11.1551,-10.9486,-7.5358,-9.2190,-9.0052
  p-value,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
other_channel,0.5081,0.5960,0.6536,0.7972,0.1146,0.1260
  std err,0.1120,0.1254,0.1252,0.0894,0.0730,0.0764
  t-stat,4.5360,4.7519,5.2213,8.9207,1.5706,1.6487
  p-value,0.0000,0.0000,0.0000,0.0000,0.1163,0.0992
product,0.1813,0.1755,0.1869,0.3617,0.0594,0.0731
  std err,0.0724,0.0810,0.0809,0.0577,0.0472,0.0494
  t-stat,2.5054,2.1655,2.3105,6.2641,1.2601,1.4800
  p-value,0.0122,0.0304,0.0209,0.0000,0.2076,0.1389
r^2,0.1274,0.1070,0.0956,-0.0118,0.0539,0.0481
rbar^2,0.1204,0.0998,0.0883,-0.0200,0.0463,0.0405
,,,,,,
rrate_cum60,-0.5997,-0.6290,-0.6175,-0.3003,-0.3120,-0.3006
  std err,0.0500,0.0559,0.0560,0.0399,0.0415,0.0345
  t-stat,-11.9858,-11.2511,-11.0301,-7.5177,-7.5207,-8.7084
  p-value,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
other_channel,0.5262,0.6195,0.6854,0.8036,0.8089,0.1506
  std err,0.1109,0.1239,0.1241,0.0885,0.0920,0.0765
  t-stat,4.7444,4.9985,5.5237,9.0755,8.7955,1.9685
  p-value,0.0000,0.0000,0.0000,0.0000,0.0000,0.0490
product,0.1982,0.1989,0.2135,0.3653,0.3788,0.0821
  std err,0.0715,0.0799,0.0800,0.0571,0.0593,0.0493
  t-stat,2.7725,2.4901,2.6685,6.3995,6.3897,1.6643
  p-value,0.0056,0.0128,0.0076,0.0000,0.0000,0.0961
r^2,0.1289,0.1082,0.0964,-0.0122,-0.0150,0.0404
rbar^2,0.1219,0.1011,0.0891,-0.0203,-0.0232,0.0327
