, RLS regressions, (w/o c or rule dummmies)., (Rule: itr),,,
 RHS regressors (rows): ,, LHS vars (columns):,,,,
,y_cum20,y_cum40,y_cum60,pi_cum20,pi_cum40,pi_cum60
rrate_cum20,-0.5556,-0.5621,-0.5516,-0.2210,-0.2401,-0.2453
  std err,0.0753,0.0853,0.0831,0.0378,0.0379,0.0384
  t-stat,-7.3747,-6.5863,-6.6378,-5.8450,-6.3427,-6.3876
  p-value,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
other_channel,4.5957,5.3548,5.5703,1.1744,1.0985,1.0874
  std err,0.4827,0.5468,0.5325,0.2422,0.2425,0.2460
  t-stat,9.5215,9.7933,10.4614,4.8487,4.5291,4.4195
  p-value,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
product,1.6004,1.8689,1.9366,0.4538,0.4256,0.4275
  std err,0.2220,0.2515,0.2449,0.1114,0.1115,0.1132
  t-stat,7.2096,7.4317,7.9084,4.0742,3.8156,3.7782
  p-value,0.0000,0.0000,0.0000,0.0000,0.0001,0.0002
r^2,0.0809,0.0894,0.0855,-0.0663,-0.0602,-0.0527
rbar^2,0.0582,0.0670,0.0629,-0.0926,-0.0864,-0.0787
,,,,,,
rrate_cum40,-0.5642,-0.5746,-0.5593,-0.2261,-0.2416,-0.2428
  std err,0.0809,0.0843,0.0839,0.0388,0.0393,0.0395
  t-stat,-6.9710,-6.8119,-6.6670,-5.8247,-6.1526,-6.1526
  p-value,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
other_channel,3.4625,5.3462,5.5893,1.0396,0.9931,0.9829
  std err,0.4929,0.5137,0.5110,0.2364,0.2391,0.2404
  t-stat,7.0244,10.4066,10.9386,4.3975,4.1531,4.0887
  p-value,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
product,1.1449,1.8778,1.9418,0.3963,0.3771,0.3747
  std err,0.2230,0.2324,0.2312,0.1070,0.1082,0.1088
  t-stat,5.1337,8.0786,8.3993,3.7054,3.4856,3.4454
  p-value,0.0000,0.0000,0.0000,0.0002,0.0005,0.0006
r^2,0.0514,0.0833,0.0858,-0.0743,-0.0703,-0.0639
rbar^2,0.0280,0.0606,0.0633,-0.1008,-0.0967,-0.0901
,,,,,,
rrate_cum60,-0.5688,-0.5820,-0.5642,-0.2292,-0.2397,-0.2374
  std err,0.0809,0.0843,0.0827,0.0392,0.0398,0.0396
  t-stat,-7.0321,-6.9068,-6.8191,-5.8437,-6.0172,-5.9982
  p-value,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
other_channel,3.5468,5.3299,5.6495,1.0219,0.9772,0.9666
  std err,0.4836,0.5038,0.4947,0.2345,0.2382,0.2367
  t-stat,7.3339,10.5785,11.4207,4.3573,4.1029,4.0840
  p-value,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
product,1.1834,1.8758,1.9678,0.3915,0.3677,0.3620
  std err,0.2183,0.2275,0.2233,0.1059,0.1075,0.1069
  t-stat,5.4203,8.2469,8.8114,3.6978,3.4192,3.3881
  p-value,0.0000,0.0000,0.0000,0.0002,0.0006,0.0007
r^2,0.0553,0.0880,0.0898,-0.0748,-0.0772,-0.0700
rbar^2,0.0320,0.0655,0.0673,-0.1013,-0.1038,-0.0964
