, RLS regressions, (w/o c or rule dummmies)., (Rule: tr),,,
 RHS regressors (rows): ,, LHS vars (columns):,,,,
,y_cum20,y_cum40,y_cum60,pi_cum20,pi_cum40,pi_cum60
rrate_cum20,-0.1308,-0.1334,-0.1347,-0.0431,-0.0430,-0.0412
  std err,0.0303,0.0360,0.0363,0.0139,0.0142,0.0099
  t-stat,-4.3193,-3.7007,-3.7135,-3.0903,-3.0233,-4.1782
  p-value,0.0000,0.0002,0.0002,0.0020,0.0025,0.0000
other_channel,0.6546,0.6927,0.6852,0.4293,0.4307,0.0751
  std err,0.0287,0.0342,0.0344,0.0132,0.0135,0.0094
  t-stat,22.7917,20.2591,19.9102,32.4553,31.9093,8.0174
  p-value,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
product,0.6595,0.6824,0.6760,0.5072,0.5078,0.0963
  std err,0.0421,0.0501,0.0504,0.0194,0.0198,0.0137
  t-stat,15.6812,13.6310,13.4161,26.1877,25.6953,7.0283
  p-value,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
r^2,0.0625,0.0566,0.0503,-0.1086,-0.1496,-0.0189
rbar^2,0.0391,0.0330,0.0265,-0.1363,-0.1784,-0.0444
,,,,,,
rrate_cum40,-0.1301,-0.1379,-0.1389,-0.0432,-0.0434,-0.0438
  std err,0.0289,0.0628,0.0620,0.0116,0.0137,0.0149
  t-stat,-4.5057,-2.1959,-2.2392,-3.7127,-3.1673,-2.9399
  p-value,0.0000,0.0281,0.0251,0.0002,0.0015,0.0033
other_channel,0.5763,0.6098,0.5991,0.2456,0.4440,0.4596
  std err,0.0242,0.0526,0.0519,0.0097,0.0115,0.0125
  t-stat,23.8370,11.5969,11.5317,25.2033,38.7361,36.8169
  p-value,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
product,0.5859,0.4576,0.4534,0.2936,0.5186,0.5362
  std err,0.0358,0.0779,0.0770,0.0144,0.0170,0.0185
  t-stat,16.3595,5.8745,5.8917,20.3373,30.5447,28.9981
  p-value,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
r^2,0.0283,0.0603,0.0488,-0.0266,-0.0924,-0.1124
rbar^2,0.0040,0.0368,0.0251,-0.0523,-0.1198,-0.1402
,,,,,,
rrate_cum60,-0.1376,-0.1385,-0.1398,-0.0418,-0.0434,-0.0438
  std err,0.0615,0.0615,0.0604,0.0102,0.0131,0.0138
  t-stat,-2.2375,-2.2528,-2.3150,-4.1117,-3.3033,-3.1760
  p-value,0.0253,0.0243,0.0206,0.0000,0.0010,0.0015
other_channel,0.3176,0.5964,0.5843,0.2310,0.4184,0.4539
  std err,0.0505,0.0504,0.0495,0.0083,0.0108,0.0113
  t-stat,6.2955,11.8273,11.7978,27.6732,38.8587,40.1113
  p-value,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
product,0.1338,0.4421,0.4391,0.2745,0.4910,0.5310
  std err,0.0740,0.0739,0.0726,0.0122,0.0158,0.0166
  t-stat,1.8097,5.9802,6.0481,22.4282,31.1050,32.0158
  p-value,0.0703,0.0000,0.0000,0.0000,0.0000,0.0000
r^2,0.0186,0.0574,0.0457,-0.0150,-0.0792,-0.0798
rbar^2,-0.0059,0.0339,0.0218,-0.0404,-0.1061,-0.1068
