, RLS regressions, (w/o c orrule dummmies)., (Rule: all),,,
 RHS regressors (rows): ,, LHS vars (columns):,,,,
,y_cum20,y_cum40,y_cum60,pi_cum20,pi_cum40,pi_cum60
rrate_cum20,-0.5366,-0.5631,-0.5790,-0.4175,-0.3865,-0.3866
  std err,0.0703,0.0784,0.0808,0.0523,0.0405,0.0425
  t-stat,-7.6365,-7.1818,-7.1629,-7.9819,-9.5494,-9.1048
  p-value,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
stky_pr_calvo,0.2920,0.3547,0.4459,0.8413,0.0520,0.0588
  std err,0.1202,0.1342,0.1383,0.0895,0.0693,0.0727
  t-stat,2.4281,2.6434,3.2242,9.3999,0.7515,0.8093
  p-value,0.0152,0.0082,0.0013,0.0000,0.4523,0.4184
product,-0.0198,-0.0314,0.0222,0.5278,0.1418,0.1420
  std err,0.0902,0.1007,0.1038,0.0672,0.0520,0.0545
  t-stat,-0.2195,-0.3114,0.2135,7.8594,2.7292,2.6046
  p-value,0.8263,0.7555,0.8309,0.0000,0.0063,0.0092
r^2,0.1050,0.0887,0.0744,0.0277,0.0876,0.0784
rbar^2,0.0978,0.0814,0.0670,0.0199,0.0802,0.0710
,,,,,,
rrate_cum40,-0.5353,-0.5553,-0.5713,-0.4105,-0.3933,-0.3859
  std err,0.0720,0.0782,0.0816,0.0521,0.0542,0.0421
  t-stat,-7.4381,-7.1021,-7.0060,-7.8770,-7.2589,-9.1676
  p-value,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
stky_pr_calvo,0.3659,0.3353,0.4376,0.8355,0.8347,0.1028
  std err,0.1207,0.1311,0.1367,0.0874,0.0909,0.0706
  t-stat,3.0327,2.5577,3.2006,9.5621,9.1874,1.4574
  p-value,0.0024,0.0105,0.0014,0.0000,0.0000,0.1450
product,0.0022,-0.0561,-0.0028,0.5179,0.4867,0.1740
  std err,0.0908,0.0986,0.1028,0.0657,0.0683,0.0531
  t-stat,0.0246,-0.5691,-0.0269,7.8790,7.1226,3.2778
  p-value,0.9804,0.5693,0.9786,0.0000,0.0000,0.0010
r^2,0.1002,0.0944,0.0786,0.0253,0.0063,0.0739
rbar^2,0.0930,0.0871,0.0712,0.0174,-0.0017,0.0665
,,,,,,
rrate_cum60,-0.5196,-0.5514,-0.5651,-0.4067,-0.3897,-0.3864
  std err,0.0671,0.0778,0.0807,0.0519,0.0542,0.0426
  t-stat,-7.7448,-7.0874,-7.0039,-7.8335,-7.1940,-9.0729
  p-value,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
stky_pr_calvo,0.1779,0.2691,0.3892,0.8289,0.8568,0.1438
  std err,0.1115,0.1293,0.1341,0.0863,0.0900,0.0708
  t-stat,1.5954,2.0817,2.9028,9.6083,9.5180,2.0322
  p-value,0.1106,0.0374,0.0037,0.0000,0.0000,0.0421
product,-0.0900,-0.1073,-0.0376,0.5105,0.4947,0.1949
  std err,0.0840,0.0974,0.1010,0.0650,0.0678,0.0533
  t-stat,-1.0719,-1.1012,-0.3718,7.8551,7.2937,3.6543
  p-value,0.2837,0.2708,0.7101,0.0000,0.0000,0.0003
r^2,0.1144,0.0959,0.0806,0.0233,0.0056,0.0648
rbar^2,0.1073,0.0886,0.0732,0.0155,-0.0024,0.0573
