, RLS regressions, (w/o c orrule dummmies)., (Rule: itr)
 LHS vars (rows):,, RHS regressors (columns): ,
,,,
stky_pr_ndx: ~0.27* for y; ~-0.10 for prices,,,
,,,
,rrate_cum20,rrate_cum40,rrate_cum60
y_cum20,-0.5943,-0.5711,-0.5708
 std err,0.0931,0.0888,0.0876
 t-stat,-6.385,-6.4319,-6.5148
 p-value,0,0,0
 r^2,-0.1825,-0.1327,-0.1259
 rbar^2,-0.1969,-0.1465,-0.1396
,,,
y_cum40,-0.6181,-0.6463,-0.6515
 std err,0.1106,0.1074,0.1062
 t-stat,-5.5865,-6.0159,-6.1366
 p-value,0,0,0
 r^2,-0.1336,-0.1052,-0.0974
 rbar^2,-0.1474,-0.1187,-0.1108
,,,
y_cum60,-0.5899,-0.6242,-0.6364
 std err,0.1075,0.1087,0.1086
 t-stat,-5.4866,-5.74,-5.8621
 p-value,0,0,0
 r^2,-0.1308,-0.1136,-0.107
 rbar^2,-0.1445,-0.1272,-0.1205
,,,
pi_cum20,-0.2586,-0.2564,-0.2543
 std err,0.0461,0.0451,0.0449
 t-stat,-5.6086,-5.6858,-5.6709
 p-value,0,0,0
 r^2,-0.2157,-0.2098,-0.2109
 rbar^2,-0.2305,-0.2246,-0.2256
,,,
pi_cum40,-0.2595,-0.253,-0.2474
 std err,0.046,0.0456,0.0459
 t-stat,-5.6427,-5.5469,-5.3861
 p-value,0,0,0
 r^2,-0.1759,-0.1797,-0.186
 rbar^2,-0.1903,-0.1941,-0.2004
,,,
pi_cum60,-0.2589,-0.2518,-0.2468
 std err,0.0469,0.0459,0.0458
 t-stat,-5.5242,-5.4841,-5.3897
 p-value,0,0,0
 r^2,-0.1566,-0.1637,-0.1701
 rbar^2,-0.1707,-0.1779,-0.1844
