, RLS regressions, (w/o c orrule dummmies)., (Rule: all),,,
 RHS regressors (rows): ,, LHS vars (columns):,,,,
,y_cum20,y_cum40,y_cum60,pi_cum20,pi_cum40,pi_cum60
rrate_cum20,-0.5288,-0.5532,-0.5685,-0.3201,-0.3249,-0.3269
  std err,0.0459,0.0516,0.0525,0.0272,0.0290,0.0311
  t-stat,-11.5300,-10.7225,-10.8383,-11.7673,-11.2017,-10.5149
  p-value,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
stky_pr_ndx,-0.1248,-0.1091,-0.0063,0.0754,0.0334,0.0803
  std err,0.1771,0.1992,0.2025,0.1050,0.1120,0.1200
  t-stat,-0.7046,-0.5479,-0.0313,0.7183,0.2984,0.6694
  p-value,0.4810,0.5838,0.9750,0.4726,0.7654,0.5032
product,-0.2111,-0.2431,-0.1716,0.0934,0.0573,0.0695
  std err,0.0975,0.1097,0.1115,0.0578,0.0616,0.0661
  t-stat,-2.1657,-2.2165,-1.5389,1.6156,0.9289,1.0518
  p-value,0.0303,0.0267,0.1238,0.1062,0.3529,0.2929
r^2,0.1125,0.0920,0.0752,0.0812,0.0805,0.0636
rbar^2,0.1053,0.0847,0.0678,0.0738,0.0732,0.0560
,,,,,,
rrate_cum40,-0.5082,-0.5340,-0.5416,-0.3173,-0.3259,-0.3316
  std err,0.0438,0.0501,0.0508,0.0270,0.0297,0.0329
  t-stat,-11.6000,-10.6652,-10.6667,-11.7712,-10.9597,-10.0718
  p-value,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
stky_pr_ndx,-0.1685,-0.2171,-0.1389,0.1174,0.1554,0.2902
  std err,0.1688,0.1930,0.1957,0.1039,0.1146,0.1269
  t-stat,-0.9979,-1.1249,-0.7096,1.1302,1.3559,2.2868
  p-value,0.3183,0.2606,0.4780,0.2584,0.1751,0.0222
product,-0.2469,-0.3272,-0.2772,0.1136,0.1140,0.1626
  std err,0.0915,0.1046,0.1061,0.0563,0.0621,0.0688
  t-stat,-2.6977,-3.1280,-2.6128,2.0169,1.8346,2.3642
  p-value,0.0070,0.0018,0.0090,0.0437,0.0666,0.0181
r^2,0.1208,0.1025,0.0836,0.0730,0.0557,0.0252
rbar^2,0.1138,0.0952,0.0762,0.0655,0.0482,0.0174
,,,,,,
rrate_cum60,-0.5093,-0.5300,-0.5385,-0.3181,-0.3279,-0.3330
  std err,0.0431,0.0490,0.0502,0.0272,0.0309,0.0335
  t-stat,-11.8147,-10.8170,-10.7368,-11.7088,-10.6279,-9.9460
  p-value,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
stky_pr_ndx,-0.1984,-0.2667,-0.2042,0.1633,0.2619,0.3880
  std err,0.1657,0.1884,0.1928,0.1045,0.1186,0.1287
  t-stat,-1.1973,-1.4156,-1.0590,1.5630,2.2078,3.0145
  p-value,0.2312,0.1569,0.2896,0.1181,0.0273,0.0026
product,-0.2679,-0.3649,-0.3267,0.1326,0.1593,0.2056
  std err,0.0894,0.1016,0.1040,0.0563,0.0640,0.0694
  t-stat,-2.9960,-3.5914,-3.1408,2.3530,2.4896,2.9619
  p-value,0.0027,0.0003,0.0017,0.0186,0.0128,0.0031
r^2,0.1245,0.1075,0.0876,0.0627,0.0349,0.0089
rbar^2,0.1175,0.1003,0.0803,0.0552,0.0271,0.0010
