, RLS regressions, (w/o c orrule dummmies)., (Rule: gr),,,
 RHS regressors (rows): ,, LHS vars (columns):,,,,
,y_cum20,y_cum40,y_cum60,pi_cum20,pi_cum40,pi_cum60
rrate_cum20,-0.6728,-0.7022,-0.7165,-0.4314,-0.4487,-0.4500
  std err,0.1625,0.1838,0.1915,0.0281,0.0330,0.0347
  t-stat,-4.1406,-3.8198,-3.7407,-15.3644,-13.5997,-12.9552
  p-value,0.0000,0.0001,0.0002,0.0000,0.0000,0.0000
stky_pr_ndx,4.4655,5.1584,5.6109,2.6395,2.6448,2.6430
  std err,0.9588,1.0847,1.1302,0.1657,0.1947,0.2050
  t-stat,4.6573,4.7557,4.9646,15.9324,13.5847,12.8944
  p-value,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
product,1.3046,1.4655,1.6268,1.0578,1.0520,1.0514
  std err,0.4577,0.5178,0.5395,0.0791,0.0929,0.0978
  t-stat,2.8502,2.8302,3.0153,13.3758,11.3191,10.7454
  p-value,0.0044,0.0047,0.0026,0.0000,0.0000,0.0000
r^2,-0.1417,-0.1198,-0.1100,0.0989,-0.0110,-0.0280
rbar^2,-0.1696,-0.1471,-0.1370,0.0769,-0.0357,-0.0531
,,,,,,
rrate_cum40,-0.6659,-0.6972,-0.7123,-0.4308,-0.4699,-0.4672
  std err,0.1673,0.1861,0.1935,0.0243,0.0251,0.0268
  t-stat,-3.9808,-3.7469,-3.6818,-17.7413,-18.7152,-17.4268
  p-value,0.0001,0.0002,0.0002,0.0000,0.0000,0.0000
stky_pr_ndx,4.0168,4.4217,4.8276,2.6007,2.6454,2.6430
  std err,0.9617,1.0697,1.1121,0.1396,0.1443,0.1541
  t-stat,4.1768,4.1335,4.3408,18.6301,18.3275,17.1472
  p-value,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
product,1.0417,1.1042,1.2565,1.0243,1.0643,1.0610
  std err,0.4481,0.4985,0.5182,0.0650,0.0673,0.0718
  t-stat,2.3244,2.2152,2.4246,15.7464,15.8233,14.7720
  p-value,0.0201,0.0267,0.0153,0.0000,0.0000,0.0000
r^2,-0.1631,-0.1377,-0.1267,0.1905,0.1997,0.1781
rbar^2,-0.1914,-0.1655,-0.1542,0.1707,0.1802,0.1581
,,,,,,
rrate_cum60,-0.6600,-0.6917,-0.7093,-0.4322,-0.4562,-0.4533
  std err,0.1727,0.1923,0.1992,0.0242,0.0266,0.0286
  t-stat,-3.8204,-3.5976,-3.5599,-17.8590,-17.1614,-15.8260
  p-value,0.0001,0.0003,0.0004,0.0000,0.0000,0.0000
stky_pr_ndx,3.8886,4.0969,4.3861,2.5441,2.6024,2.6256
  std err,0.9652,1.0743,1.1132,0.1352,0.1485,0.1600
  t-stat,4.0289,3.8137,3.9400,18.8141,17.5215,16.4058
  p-value,0.0001,0.0001,0.0001,0.0000,0.0000,0.0000
product,0.9194,0.8968,1.0114,0.9866,1.0188,1.0188
  std err,0.4444,0.4947,0.5126,0.0623,0.0684,0.0737
  t-stat,2.0688,1.8130,1.9730,15.8447,14.8958,13.8237
  p-value,0.0386,0.0698,0.0485,0.0000,0.0000,0.0000
r^2,-0.1781,-0.1544,-0.1429,0.1901,0.1499,0.1218
rbar^2,-0.2069,-0.1826,-0.1708,0.1703,0.1292,0.1004
