, RLS regressions, (w/o c orrule dummmies)., (Rule: itr),,,
 RHS regressors (rows): ,, LHS vars (columns):,,,,
,y_cum20,y_cum40,y_cum60,pi_cum20,pi_cum40,pi_cum60
rrate_cum20,-0.6455,-0.6602,-0.6782,-0.3107,-0.3093,-0.3069
  std err,0.0991,0.1197,0.1251,0.0328,0.0307,0.0284
  t-stat,-6.5157,-5.5171,-5.4203,-9.4581,-10.0606,-10.8134
  p-value,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
stky_pr_ndx,1.2356,1.0250,1.6182,2.6502,2.4702,2.5138
  std err,0.8302,1.0027,1.0485,0.2753,0.2576,0.2378
  t-stat,1.4883,1.0222,1.5432,9.6275,9.5878,10.5705
  p-value,0.1367,0.3067,0.1228,0.0000,0.0000,0.0000
product,0.4218,0.2849,0.5335,1.1175,1.0260,1.0494
  std err,0.3323,0.4014,0.4197,0.1102,0.1031,0.0952
  t-stat,1.2692,0.7097,1.2712,10.1419,9.9482,11.0243
  p-value,0.2044,0.4779,0.2037,0.0000,0.0000,0.0000
r^2,-0.1808,-0.1441,-0.1459,0.1794,0.1217,0.1359
rbar^2,-0.2099,-0.1724,-0.1742,0.1591,0.1000,0.1145
,,,,,,
rrate_cum40,-0.6281,-0.6410,-0.6470,-0.3064,-0.3071,-0.3046
  std err,0.0967,0.1145,0.1186,0.0314,0.0307,0.0291
  t-stat,-6.4990,-5.6000,-5.4555,-9.7599,-9.9868,-10.4708
  p-value,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
stky_pr_ndx,0.8962,0.2251,0.5924,2.7372,2.4989,2.4907
  std err,0.7628,0.9034,0.9361,0.2478,0.2427,0.2296
  t-stat,1.1749,0.2492,0.6329,11.0479,10.2966,10.8486
  p-value,0.2401,0.8032,0.5268,0.0000,0.0000,0.0000
product,0.2809,-0.0374,0.1195,1.1594,1.0371,1.0394
  std err,0.3037,0.3597,0.3727,0.0986,0.0966,0.0914
  t-stat,0.9250,-0.1039,0.3206,11.7536,10.7335,11.3719
  p-value,0.3549,0.9172,0.7485,0.0000,0.0000,0.0000
r^2,-0.1517,-0.1039,-0.1173,0.1504,0.1003,0.0984
rbar^2,-0.1801,-0.1311,-0.1449,0.1294,0.0780,0.0761
,,,,,,
rrate_cum60,-0.6259,-0.6353,-0.6330,-0.3053,-0.3061,-0.3031
  std err,0.0958,0.1127,0.1162,0.0322,0.0292,0.0289
  t-stat,-6.5301,-5.6361,-5.4482,-9.4744,-10.4763,-10.4921
  p-value,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
stky_pr_ndx,0.8010,0.0718,0.2851,2.6780,2.5836,2.6003
  std err,0.7342,0.8635,0.8899,0.2468,0.2238,0.2213
  t-stat,1.0910,0.0832,0.3204,10.8503,11.5452,11.7505
  p-value,0.2753,0.9337,0.7487,0.0000,0.0000,0.0000
product,0.2415,-0.1039,-0.0136,1.1403,1.0752,1.0796
  std err,0.2936,0.3453,0.3558,0.0987,0.0895,0.0885
  t-stat,0.8227,-0.3009,-0.0383,11.5540,12.0160,12.2008
  p-value,0.4107,0.7635,0.9695,0.0000,0.0000,0.0000
r^2,-0.1480,-0.0928,-0.1063,0.1366,0.1132,0.1124
rbar^2,-0.1764,-0.1197,-0.1336,0.1153,0.0913,0.0905
