, RLS regressions, (w/o c orrule dummmies)., (Rule: tr),,,
 RHS regressors (rows): ,, LHS vars (columns):,,,,
,y_cum20,y_cum40,y_cum60,pi_cum20,pi_cum40,pi_cum60
rrate_cum20,-0.0878,-0.0914,-0.0925,-0.0438,-0.0442,-0.0452
  std err,0.0230,0.0288,0.0292,0.0057,0.0070,0.0067
  t-stat,-3.8242,-3.1769,-3.1720,-7.6513,-6.3643,-6.7233
  p-value,0.0001,0.0015,0.0015,0.0000,0.0000,0.0000
stky_pr_ndx,0.5805,0.6060,0.6023,0.4795,0.4818,0.4798
  std err,0.0517,0.0647,0.0656,0.0129,0.0156,0.0151
  t-stat,11.2384,9.3672,9.1801,37.2726,30.8214,31.7326
  p-value,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
product,0.5879,0.6062,0.6045,0.5353,0.5394,0.5383
  std err,0.0638,0.0799,0.0810,0.0159,0.0193,0.0187
  t-stat,9.2175,7.5878,7.4616,33.6990,27.9421,28.8305
  p-value,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
r^2,0.0511,0.0368,0.0322,0.2254,0.1302,0.1247
rbar^2,0.0274,0.0127,0.0080,0.2061,0.1084,0.1028
,,,,,,
rrate_cum40,-0.0621,-0.0625,-0.0633,-0.0444,-0.0445,-0.0456
  std err,0.0244,0.0241,0.0242,0.0053,0.0056,0.0062
  t-stat,-2.5443,-2.5944,-2.6132,-8.4099,-7.9321,-7.3213
  p-value,0.0109,0.0095,0.0090,0.0000,0.0000,0.0000
stky_pr_ndx,0.5335,0.5632,0.5603,0.4816,0.4816,0.5020
  std err,0.0597,0.0590,0.0593,0.0129,0.0137,0.0152
  t-stat,8.9328,9.5516,9.4552,37.2698,35.0635,32.9578
  p-value,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
product,0.5037,0.5347,0.5343,0.5346,0.5357,0.5570
  std err,0.0721,0.0712,0.0715,0.0156,0.0166,0.0184
  t-stat,6.9863,7.5119,7.4689,34.2677,32.3084,30.2928
  p-value,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
r^2,0.0039,0.0235,0.0198,0.1335,0.1819,0.1493
rbar^2,-0.0210,-0.0009,-0.0047,0.1119,0.1614,0.1280
,,,,,,
rrate_cum60,-0.0517,-0.0533,-0.0535,-0.0443,-0.0447,-0.0455
  std err,0.0228,0.0234,0.0229,0.0048,0.0056,0.0052
  t-stat,-2.2629,-2.2754,-2.3378,-9.2699,-8.0355,-8.6770
  p-value,0.0236,0.0229,0.0194,0.0000,0.0000,0.0000
stky_pr_ndx,0.5124,0.5463,0.5425,0.4808,0.4616,0.4897
  std err,0.0596,0.0611,0.0597,0.0125,0.0145,0.0137
  t-stat,8.6010,8.9469,9.0822,38.5435,31.8109,35.8140
  p-value,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
product,0.4697,0.5040,0.5038,0.5343,0.5160,0.5452
  std err,0.0713,0.0731,0.0715,0.0149,0.0174,0.0164
  t-stat,6.5874,6.8975,7.0474,35.7847,29.7143,33.3165
  p-value,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
r^2,-0.0093,0.0107,0.0110,0.1352,0.1822,0.1792
rbar^2,-0.0345,-0.0141,-0.0138,0.1136,0.1618,0.1587
