, RLS regressions, (w/o c orrule dummmies)., (Rule: gr),,,
 RHS regressors (rows): ,, LHS vars (columns):,,,,
,y_cum20,y_cum40,y_cum60,pi_cum20,pi_cum40,pi_cum60
rrate_cum20,-0.9910,-1.1066,-1.1183,-0.4372,-0.4450,-0.4579
  std err,0.1247,0.1474,0.1496,0.0568,0.0547,0.0562
  t-stat,-7.9439,-7.5079,-7.4759,-7.6985,-8.1354,-8.1503
  p-value,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
stky_pr_rotemberg,4.6457,4.7370,4.7660,2.3978,2.4391,2.4395
  std err,1.9863,2.3470,2.3818,0.9043,0.8710,0.8947
  t-stat,2.3389,2.0184,2.0010,2.6515,2.8002,2.7268
  p-value,0.0193,0.0436,0.0454,0.0080,0.0051,0.0064
product,2.3432,2.4874,2.5040,0.9025,0.9248,0.9378
  std err,0.9500,1.1225,1.1392,0.4325,0.4166,0.4279
  t-stat,2.4665,2.2160,2.1981,2.0866,2.2199,2.1915
  p-value,0.0136,0.0267,0.0279,0.0369,0.0264,0.0284
r^2,-0.2554,-0.2519,-0.2380,-0.8262,-0.6593,-0.6507
rbar^2,-0.2860,-0.2825,-0.2682,-0.8708,-0.6997,-0.6910
,,,,,,
rrate_cum40,-1.0026,-1.1128,-1.1340,-0.4198,-0.4270,-0.4364
  std err,0.1189,0.1379,0.1423,0.0565,0.0547,0.0568
  t-stat,-8.4307,-8.0695,-7.9707,-7.4304,-7.8029,-7.6798
  p-value,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
stky_pr_rotemberg,4.6607,4.7476,4.7752,2.3989,2.4403,2.4407
  std err,1.9316,2.2399,2.3110,0.9177,0.8889,0.9231
  t-stat,2.4128,2.1196,2.0663,2.6139,2.7452,2.6440
  p-value,0.0158,0.0340,0.0388,0.0090,0.0060,0.0082
product,2.3599,2.4964,2.5220,0.8849,0.9067,0.9161
  std err,0.9220,1.0691,1.1031,0.4380,0.4243,0.4406
  t-stat,2.5597,2.3350,2.2864,2.0202,2.1371,2.0792
  p-value,0.0105,0.0195,0.0222,0.0434,0.0326,0.0376
r^2,-0.2285,-0.2149,-0.2152,-0.8446,-0.6865,-0.6829
rbar^2,-0.2584,-0.2445,-0.2448,-0.8896,-0.7276,-0.7239
,,,,,,
rrate_cum60,-1.0080,-1.1165,-1.1454,-0.4110,-0.4160,-0.4235
  std err,0.1152,0.1310,0.1376,0.0565,0.0555,0.0575
  t-stat,-8.7527,-8.5217,-8.3268,-7.2786,-7.5028,-7.3618
  p-value,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
stky_pr_rotemberg,4.6702,4.7546,4.7812,2.4008,2.4422,2.4427
  std err,1.8920,2.1525,2.2600,0.9277,0.9110,0.9452
  t-stat,2.4683,2.2088,2.1156,2.5880,2.6808,2.5845
  p-value,0.0136,0.0272,0.0344,0.0097,0.0073,0.0098
product,2.3684,2.5017,2.5346,0.8766,0.8961,0.9037
  std err,0.9020,1.0262,1.0774,0.4423,0.4343,0.4506
  t-stat,2.6257,2.4379,2.3525,1.9820,2.0632,2.0055
  p-value,0.0086,0.0148,0.0186,0.0475,0.0391,0.0449
r^2,-0.2111,-0.1853,-0.1982,-0.8536,-0.7015,-0.7049
rbar^2,-0.2407,-0.2142,-0.2275,-0.8988,-0.7430,-0.7465
