, RLS regressions, (w/o c or rule dummmies)., (Rule: tr),,,
 RHS regressors (rows): ,, LHS vars (columns):,,,,
,y_cum20,y_cum40,y_cum60,pi_cum20,pi_cum40,pi_cum60
rrate_cum20,-0.1100,-0.1141,-0.1177,-0.0364,-0.0368,-0.0374
  std err,0.0162,0.0215,0.0231,0.0061,0.0063,0.0063
  t-stat,-6.7857,-5.3077,-5.1049,-5.9722,-5.8384,-5.9093
  p-value,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
stky_pr_rotemberg,1.7866,1.4758,1.4541,0.1143,0.1207,0.1228
  std err,0.2861,0.3791,0.4067,0.1074,0.1111,0.1116
  t-stat,6.2437,3.8924,3.5755,1.0644,1.0861,1.1004
  p-value,0.0000,0.0001,0.0003,0.2871,0.2774,0.2712
product,1.9768,1.6307,1.6105,0.1230,0.1341,0.1377
  std err,0.3455,0.4578,0.4911,0.1297,0.1341,0.1348
  t-stat,5.7214,3.5619,3.2796,0.9481,0.9999,1.0216
  p-value,0.0000,0.0004,0.0010,0.3431,0.3173,0.3070
r^2,-0.0610,-0.0535,-0.0558,-0.0033,-0.0027,-0.0049
rbar^2,-0.0875,-0.0799,-0.0822,-0.0284,-0.0277,-0.0301
,,,,,,
rrate_cum40,-0.0970,-0.1027,-0.1045,-0.0362,-0.0365,-0.0371
  std err,0.0193,0.0227,0.0230,0.0053,0.0055,0.0055
  t-stat,-5.0240,-4.5139,-4.5453,-6.7781,-6.6585,-6.7573
  p-value,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
stky_pr_rotemberg,0.9022,0.9738,0.9966,0.0268,0.0296,0.0300
  std err,0.3331,0.3923,0.3964,0.0921,0.0945,0.0947
  t-stat,2.7084,2.4821,2.5142,0.2907,0.3134,0.3170
  p-value,0.0068,0.0131,0.0119,0.7713,0.7540,0.7513
product,0.9728,1.0602,1.0884,0.0191,0.0265,0.0280
  std err,0.4104,0.4834,0.4884,0.1135,0.1164,0.1167
  t-stat,2.3703,2.1931,2.2287,0.1684,0.2276,0.2402
  p-value,0.0178,0.0283,0.0258,0.8663,0.8200,0.8102
r^2,-0.1033,-0.0964,-0.0920,-0.0054,-0.0058,-0.0074
rbar^2,-0.1309,-0.1238,-0.1193,-0.0305,-0.0309,-0.0326
,,,,,,
rrate_cum60,-0.1227,-0.1347,-0.1201,-0.0361,-0.0365,-0.0371
  std err,0.0161,0.0184,0.0212,0.0049,0.0051,0.0051
  t-stat,-7.6450,-7.3297,-5.6701,-7.3273,-7.1105,-7.2120
  p-value,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
stky_pr_rotemberg,0.8283,0.9182,0.9641,0.0157,0.0252,0.0254
  std err,0.2889,0.3307,0.3811,0.0887,0.0923,0.0926
  t-stat,2.8667,2.7763,2.5297,0.1769,0.2731,0.2747
  p-value,0.0041,0.0055,0.0114,0.8596,0.7848,0.7836
product,0.9125,1.0266,1.0650,0.0062,0.0210,0.0224
  std err,0.3558,0.4073,0.4693,0.1092,0.1137,0.1140
  t-stat,2.5649,2.5208,2.2694,0.0570,0.1852,0.1968
  p-value,0.0103,0.0117,0.0232,0.9545,0.8531,0.8439
r^2,-0.1034,-0.0874,-0.1010,-0.0054,-0.0059,-0.0076
rbar^2,-0.1310,-0.1146,-0.1285,-0.0306,-0.0311,-0.0328
