, RLS regressions, (w/o c orrule dummmies)., (Rule: all),,,
 RHS regressors (rows): ,, LHS vars (columns):,,,,
,y_cum20,y_cum40,y_cum60,pi_cum20,pi_cum40,pi_cum60
rrate_cum20,-0.5987,-0.6340,-0.6317,-0.3285,-0.3452,-0.3568
  std err,0.0395,0.0451,0.0456,0.0226,0.0236,0.0250
  t-stat,-15.1609,-14.0571,-13.8391,-14.5248,-14.6588,-14.2955
  p-value,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
stky_wg_ndx,0.1204,0.2146,0.2347,-0.1973,-0.2205,-0.2447
  std err,0.1325,0.1514,0.1532,0.0759,0.0790,0.0838
  t-stat,0.9081,1.4178,1.5322,-2.6001,-2.7904,-2.9210
  p-value,0.3638,0.1563,0.1255,0.0093,0.0053,0.0035
r^2,0.1061,0.0817,0.0678,0.0766,0.0901,0.0798
rbar^2,0.1026,0.0780,0.0640,0.0729,0.0864,0.0761
,,,,,,
rrate_cum40,-0.5980,-0.6385,-0.6376,-0.3190,-0.3355,-0.3413
  std err,0.0384,0.0436,0.0445,0.0223,0.0237,0.0249
  t-stat,-15.5939,-14.6321,-14.3360,-14.2901,-14.1361,-13.6967
  p-value,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
stky_wg_ndx,0.1273,0.1976,0.2163,-0.1911,-0.2092,-0.2241
  std err,0.1315,0.1497,0.1526,0.0766,0.0814,0.0855
  t-stat,0.9678,1.3201,1.4179,-2.4952,-2.5699,-2.6213
  p-value,0.3331,0.1868,0.1562,0.0126,0.0102,0.0088
r^2,0.1082,0.0881,0.0708,0.0664,0.0684,0.0594
rbar^2,0.1047,0.0844,0.0671,0.0627,0.0646,0.0556
,,,,,,
rrate_cum60,-0.6036,-0.6463,-0.6465,-0.3158,-0.3308,-0.3341
  std err,0.0371,0.0427,0.0437,0.0220,0.0238,0.0250
  t-stat,-16.2601,-15.1374,-14.7899,-14.3459,-13.8824,-13.3621
  p-value,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
stky_wg_ndx,0.1103,0.1771,0.1966,-0.1932,-0.2073,-0.2138
  std err,0.1286,0.1478,0.1514,0.0762,0.0825,0.0866
  t-stat,0.8582,1.1980,1.2988,-2.5351,-2.5118,-2.4698
  p-value,0.3908,0.2309,0.1940,0.0112,0.0120,0.0135
r^2,0.1164,0.0914,0.0731,0.0671,0.0600,0.0461
rbar^2,0.1129,0.0877,0.0694,0.0633,0.0562,0.0423
