, RLS regressions, (w/o c orrule dummmies)., (Rule: tr),,,
 RHS regressors (rows): ,, LHS vars (columns):,,,,
,y_cum20,y_cum40,y_cum60,pi_cum20,pi_cum40,pi_cum60
rrate_cum20,-0.1073,-0.1086,-0.1102,-0.0474,-0.0500,-0.0517
  std err,0.0200,0.0222,0.0227,0.0056,0.0079,0.0086
  t-stat,-5.3559,-4.8917,-4.8528,-8.4412,-6.3161,-6.0099
  p-value,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
stky_wg_ndx,0.6778,0.8496,0.8462,0.4293,0.6777,0.7922
  std err,0.1203,0.1334,0.1363,0.0337,0.0475,0.0516
  t-stat,5.6346,6.3693,6.2066,12.7349,14.2674,15.3460
  p-value,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
product,0.7028,0.8775,0.8761,0.4860,0.7526,0.8752
  std err,0.1341,0.1487,0.1520,0.0376,0.0530,0.0575
  t-stat,5.2414,5.9015,5.7644,12.9339,14.2122,15.2101
  p-value,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
r^2,0.0039,0.0228,0.0192,0.0693,0.0141,-0.0101
rbar^2,-0.0210,-0.0017,-0.0053,0.0461,-0.0106,-0.0354
,,,,,,
rrate_cum40,-0.1535,-0.0876,-0.1554,-0.0486,-0.0492,-0.0513
  std err,0.0150,0.0205,0.0167,0.0050,0.0061,0.0066
  t-stat,-10.2518,-4.2634,-9.2949,-9.6607,-8.1147,-7.8203
  p-value,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
stky_wg_ndx,0.4570,0.5786,0.5743,0.2877,0.4588,0.5354
  std err,0.0697,0.0956,0.0778,0.0234,0.0282,0.0305
  t-stat,6.5583,6.0526,7.3833,12.2927,16.2598,17.5424
  p-value,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
product,0.5094,0.5618,0.6366,0.3347,0.5158,0.5988
  std err,0.0768,0.1053,0.0857,0.0258,0.0311,0.0336
  t-stat,6.6367,5.3354,7.4304,12.9835,16.5968,17.8123
  p-value,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
r^2,-0.0116,-0.0088,-0.0007,0.0896,0.0411,0.0235
rbar^2,-0.0369,-0.0340,-0.0257,0.0669,0.0172,-0.0009
,,,,,,
rrate_cum60,-0.1565,-0.1564,-0.1511,-0.0482,-0.0490,-0.0506
  std err,0.0136,0.0149,0.0161,0.0044,0.0054,0.0057
  t-stat,-11.4975,-10.4862,-9.3712,-10.8704,-9.0504,-8.8410
  p-value,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
stky_wg_ndx,0.4157,0.5220,0.5245,0.2613,0.4143,0.4855
  std err,0.0628,0.0688,0.0743,0.0205,0.0250,0.0264
  t-stat,6.6236,7.5904,7.0566,12.7741,16.5817,18.3940
  p-value,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
product,0.4684,0.5809,0.5747,0.3064,0.4692,0.5458
  std err,0.0690,0.0756,0.0817,0.0225,0.0275,0.0290
  t-stat,6.7917,7.6862,7.0359,13.6348,17.0879,18.8162
  p-value,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
r^2,-0.0114,0.0006,-0.0053,0.0965,0.0561,0.0390
rbar^2,-0.0367,-0.0243,-0.0305,0.0739,0.0325,0.0150
