, RLS regressions, (w/o c orrule dummmies)., (Rule: all)
 LHS vars (rows):,, RHS regressors (columns): ,
,,,
stky_wg: ~ -0.06 for y; ~ -0.15 for prices.,,,
stky_pr: ~0.21* to 0.36 for y;  0.18 to 0.35* for prices.,,,
,,,
,rrate_cum20,rrate_cum40,rrate_cum60
y_cum20,-0.5587,-0.548,-0.583
 std err,0.0512,0.0488,0.0458
 t-stat,-10.9079,-11.2348,-12.7318
 p-value,0,0,0
 r^2,0.106,0.1087,0.1191
 rbar^2,0.0988,0.1016,0.1121
,,,
y_cum40,-0.5711,-0.5792,-0.5966
 std err,0.0571,0.0554,0.0532
 t-stat,-9.9986,-10.4638,-11.2128
 p-value,0,0,0
 r^2,0.0853,0.0891,0.092
 rbar^2,0.0779,0.0818,0.0847
,,,
y_cum60,-0.5563,-0.564,-0.5757
 std err,0.0591,0.058,0.0572
 t-stat,-9.4124,-9.7207,-10.0713
 p-value,0,0,0
 r^2,0.07,0.0722,0.073
 rbar^2,0.0625,0.0647,0.0655
,,,
pi_cum20,-0.2587,-0.2405,-0.2313
 std err,0.0302,0.0291,0.029
 t-stat,-8.58,-8.2502,-7.9817
 p-value,0,0,0
 r^2,0.0656,0.0614,0.0563
 rbar^2,0.058,0.0539,0.0487
,,,
pi_cum40,-0.2759,-0.2257,-0.2272
 std err,0.0323,0.0332,0.0322
 t-stat,-8.5389,-6.8064,-7.0465
 p-value,0,0,0
 r^2,0.066,0.0404,0.0441
 rbar^2,0.0585,0.0327,0.0364
,,,
pi_cum60,-0.2656,-0.2264,-0.2018
 std err,0.0353,0.0347,0.0348
 t-stat,-7.5337,-6.5197,-5.7927
 p-value,0,0,0
 r^2,0.049,0.0362,0.0274
 rbar^2,0.0413,0.0284,0.0196
