, RLS regressions, (w/o c orrule dummmies)., (Rule: gr),,,
 RHS regressors (rows): ,, LHS vars (columns):,,,,
,y_cum20,y_cum40,y_cum60,pi_cum20,pi_cum40,pi_cum60
rrate_cum20,-0.5984,-0.6396,-0.6451,-0.8149,-0.5594,-0.6432
  std err,0.1726,0.2104,0.2125,0.0250,0.0373,0.0329
  t-stat,-3.4672,-3.0394,-3.0361,-32.5970,-14.9873,-19.5736
  p-value,0.0005,0.0024,0.0024,0.0000,0.0000,0.0000
stky_wg,3.0448,2.9542,2.9073,2.7736,2.7582,2.7626
  std err,1.1591,1.4132,1.4269,0.1679,0.2507,0.2207
  t-stat,2.6267,2.0904,2.0375,16.5184,11.0033,12.5184
  p-value,0.0086,0.0366,0.0416,0.0000,0.0000,0.0000
product,0.7328,0.6100,0.5884,1.4947,1.2138,1.3028
  std err,0.5141,0.6267,0.6328,0.0745,0.1112,0.0979
  t-stat,1.4256,0.9732,0.9297,20.0726,10.9187,13.3120
  p-value,0.1540,0.3304,0.3525,0.0000,0.0000,0.0000
r^2,-0.2134,-0.2429,-0.2303,0.1445,-0.0962,0.0357
rbar^2,-0.2430,-0.2733,-0.2603,0.1236,-0.1230,0.0122
,,,,,,
rrate_cum40,-0.6125,-0.6524,-0.6553,-0.8231,-0.7180,-0.7974
  std err,0.1780,0.2098,0.2051,0.0194,0.0245,0.0207
  t-stat,-3.4401,-3.1099,-3.1950,-42.4713,-29.3434,-38.6013
  p-value,0.0006,0.0019,0.0014,0.0000,0.0000,0.0000
stky_wg,2.4633,2.1777,2.1188,2.7533,2.7549,2.7509
  std err,1.1487,1.3534,1.3234,0.1250,0.1579,0.1333
  t-stat,2.1444,1.6090,1.6011,22.0195,17.4501,20.6400
  p-value,0.0320,0.1076,0.1094,0.0000,0.0000,0.0000
product,0.4814,0.2948,0.2778,1.4755,1.3621,1.4449
  std err,0.4966,0.5851,0.5721,0.0541,0.0683,0.0576
  t-stat,0.9693,0.5037,0.4856,27.2936,19.9556,25.0744
  p-value,0.3324,0.6145,0.6272,0.0000,0.0000,0.0000
r^2,-0.2289,-0.2384,-0.2101,0.2498,0.2144,0.2552
rbar^2,-0.2589,-0.2686,-0.2396,0.2315,0.1952,0.2371
,,,,,,
rrate_cum60,-0.6327,-0.6750,-0.6817,-0.7873,-0.7451,-0.8316
  std err,0.1790,0.2110,0.2098,0.0217,0.0247,0.0233
  t-stat,-3.5346,-3.1990,-3.2498,-36.2437,-30.1257,-35.7081
  p-value,0.0004,0.0014,0.0012,0.0000,0.0000,0.0000
stky_wg,2.1155,1.7721,1.7024,2.6840,2.6905,2.6821
  std err,1.1080,1.3062,1.2985,0.1345,0.1531,0.1442
  t-stat,1.9092,1.3567,1.3111,19.9611,17.5732,18.6046
  p-value,0.0562,0.1749,0.1898,0.0000,0.0000,0.0000
product,0.3568,0.1471,0.1238,1.3976,1.3462,1.4354
  std err,0.4733,0.5580,0.5547,0.0574,0.0654,0.0616
  t-stat,0.7538,0.2637,0.2232,24.3329,20.5836,23.3078
  p-value,0.4510,0.7920,0.8234,0.0000,0.0000,0.0000
r^2,-0.2271,-0.2366,-0.2149,0.2267,0.1936,0.2343
rbar^2,-0.2570,-0.2668,-0.2445,0.2078,0.1740,0.2156
