, RLS regressions, (w/o c orrule dummmies)., (Rule: itr),,,
 RHS regressors (rows): ,, LHS vars (columns):,,,,
,y_cum20,y_cum40,y_cum60,pi_cum20,pi_cum40,pi_cum60
rrate_cum20,-0.7865,-0.8853,-0.7949,-0.3769,-0.3893,-0.4092
  std err,0.1067,0.1289,0.1229,0.0311,0.0294,0.0302
  t-stat,-7.3701,-6.8704,-6.4679,-12.1128,-13.2636,-13.5523
  p-value,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
stky_wg,1.3275,1.2222,1.5655,2.3642,2.3281,2.2809
  std err,0.8024,0.9689,0.9241,0.2340,0.2207,0.2271
  t-stat,1.6544,1.2615,1.6940,10.1053,10.5476,10.0452
  p-value,0.0981,0.2071,0.0903,0.0000,0.0000,0.0000
product,0.6553,0.6697,0.7337,1.0623,1.0533,1.0565
  std err,0.3201,0.3865,0.3687,0.0933,0.0881,0.0906
  t-stat,2.0472,1.7326,1.9902,11.3818,11.9625,11.6630
  p-value,0.0406,0.0832,0.0466,0.0000,0.0000,0.0000
r^2,-0.1137,-0.1137,-0.0986,0.2249,0.2176,0.1992
rbar^2,-0.1412,-0.1412,-0.1257,0.2058,0.1983,0.1794
,,,,,,
rrate_cum40,-0.7128,-0.8927,-0.9602,-0.3546,-0.3705,-0.3721
  std err,0.0998,0.1202,0.1250,0.0319,0.0312,0.0315
  t-stat,-7.1446,-7.4291,-7.6820,-11.1054,-11.8602,-11.8073
  p-value,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
stky_wg,1.3643,1.2733,1.5682,2.3623,2.3237,2.2746
  std err,0.7728,0.9308,0.9682,0.2473,0.2420,0.2441
  t-stat,1.7654,1.3680,1.6197,9.5525,9.6035,9.3172
  p-value,0.0775,0.1713,0.1053,0.0000,0.0000,0.0000
product,0.6004,0.7003,0.8905,1.0382,1.0273,1.0138
  std err,0.3067,0.3694,0.3843,0.0982,0.0960,0.0969
  t-stat,1.9573,1.8956,2.3171,10.5768,10.6969,10.4620
  p-value,0.0503,0.0580,0.0205,0.0000,0.0000,0.0000
r^2,-0.0751,-0.0687,-0.0670,0.2132,0.1856,0.1641
rbar^2,-0.1017,-0.0951,-0.0934,0.1938,0.1655,0.1435
,,,,,,
rrate_cum60,-0.7183,-0.8929,-0.9797,-0.3631,-0.3683,-0.3600
  std err,0.0992,0.1179,0.1235,0.0314,0.0326,0.0321
  t-stat,-7.2435,-7.5729,-7.9348,-11.5720,-11.3039,-11.2077
  p-value,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
stky_wg,1.3818,1.3304,1.5873,2.3483,2.3176,2.2693
  std err,0.7652,0.9099,0.9528,0.2422,0.2514,0.2479
  t-stat,1.8058,1.4622,1.6660,9.6977,9.2174,9.1546
  p-value,0.0709,0.1437,0.0957,0.0000,0.0000,0.0000
product,0.6128,0.7286,0.9194,1.0399,1.0205,0.9973
  std err,0.3035,0.3609,0.3779,0.0961,0.0997,0.0983
  t-stat,2.0189,2.0188,2.4326,10.8266,10.2320,10.1430
  p-value,0.0435,0.0435,0.0150,0.0000,0.0000,0.0000
r^2,-0.0667,-0.0503,-0.0510,0.2141,0.1689,0.1506
rbar^2,-0.0931,-0.0762,-0.0769,0.1947,0.1483,0.1297
