, RLS regressions, (w/o c orrule dummmies)., (Rule: tr),,,
 RHS regressors (rows): ,, LHS vars (columns):,,,,
,y_cum20,y_cum40,y_cum60,pi_cum20,pi_cum40,pi_cum60
rrate_cum20,-0.0655,-0.0704,-0.0734,-0.0519,-0.0491,-0.0498
  std err,0.0228,0.0279,0.0291,0.0062,0.0063,0.0063
  t-stat,-2.8751,-2.5281,-2.5236,-8.3537,-7.8056,-7.8470
  p-value,0.0040,0.0115,0.0116,0.0000,0.0000,0.0000
stky_wg,0.6322,0.7549,0.7436,0.4258,0.3312,0.3330
  std err,0.0935,0.1143,0.1193,0.0255,0.0258,0.0260
  t-stat,6.7600,6.6033,6.2327,16.7065,12.8201,12.7890
  p-value,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
product,0.6192,0.7496,0.7395,0.4899,0.3820,0.3842
  std err,0.1094,0.1337,0.1396,0.0298,0.0302,0.0305
  t-stat,5.6601,5.6054,5.2989,16.4301,12.6403,12.6124
  p-value,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
r^2,0.0358,0.0272,0.0182,0.1877,0.1206,0.1164
rbar^2,0.0117,0.0029,-0.0063,0.1673,0.0987,0.0943
,,,,,,
rrate_cum40,-0.0439,-0.0471,-0.0482,-0.0507,-0.0491,-0.0500
  std err,0.0211,0.0247,0.0250,0.0047,0.0060,0.0067
  t-stat,-2.0828,-1.9021,-1.9297,-10.7644,-8.2012,-7.4999
  p-value,0.0373,0.0572,0.0536,0.0000,0.0000,0.0000
stky_wg,0.4597,0.5512,0.5447,0.2987,0.4573,0.5216
  std err,0.0758,0.0891,0.0898,0.0170,0.0215,0.0240
  t-stat,6.0633,6.1883,6.0645,17.6201,21.2371,21.7445
  p-value,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
product,0.4048,0.5002,0.4952,0.3480,0.5174,0.5889
  std err,0.0886,0.1041,0.1050,0.0198,0.0252,0.0280
  t-stat,4.5671,4.8044,4.7166,17.5580,20.5572,21.0025
  p-value,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
r^2,0.0003,0.0040,0.0018,0.1558,0.1170,0.0894
rbar^2,-0.0247,-0.0209,-0.0231,0.1347,0.0950,0.0667
,,,,,,
rrate_cum60,-0.0360,-0.0388,-0.0402,-0.0507,-0.0491,-0.0498
  std err,0.0196,0.0234,0.0240,0.0043,0.0050,0.0056
  t-stat,-1.8385,-1.6576,-1.6716,-11.8479,-9.7796,-8.8824
  p-value,0.0660,0.0974,0.0946,0.0000,0.0000,0.0000
stky_wg,0.4247,0.5115,0.5076,0.2710,0.4159,0.4818
  std err,0.0722,0.0863,0.0885,0.0158,0.0185,0.0207
  t-stat,5.8815,5.9270,5.7366,17.1938,22.4858,23.3186
  p-value,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
product,0.3570,0.4456,0.4423,0.3180,0.4725,0.5452
  std err,0.0842,0.1006,0.1032,0.0184,0.0216,0.0241
  t-stat,4.2411,4.4295,4.2884,17.3093,21.9124,22.6364
  p-value,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
r^2,-0.0104,-0.0080,-0.0113,0.1571,0.1304,0.1124
rbar^2,-0.0356,-0.0332,-0.0366,0.1360,0.1087,0.0902
