, RLS regressions," (w/constant, w/o rule dummies).", (Rule: gr)
 LHS vars (rows):,, RHS regressors (columns): ,
,rrate_cum20,rrate_cum40,rrate_cum60
y_cum20,1.0758,0.9355,0.8096
 std err,0.1357,0.1367,0.1356
 t-stat,7.9300,6.8460,5.9712
 p-value,0.0000,0.0000,0.0000
 r^2,0.1210,0.0898,0.0665
 rbar^2,0.1104,0.0789,0.0552
,,,
y_cum40,1.2473,1.1151,1.0175
 std err,0.1497,0.1510,0.1512
 t-stat,8.3330,7.3846,6.7279
 p-value,0.0000,0.0000,0.0000
 r^2,0.1267,0.0973,0.0760
 rbar^2,0.1162,0.0865,0.0648
,,,
y_cum60,1.3569,1.2336,1.1324
 std err,0.1580,0.1575,0.1592
 t-stat,8.5893,7.8315,7.1136
 p-value,0.0000,0.0000,0.0000
 r^2,0.1407,0.1096,0.0875
 rbar^2,0.1303,0.0988,0.0765
,,,
pi_cum20,0.6153,0.6037,0.5962
 std err,0.0101,0.0085,0.0093
 t-stat,60.7479,70.9993,64.2089
 p-value,0.0000,0.0000,0.0000
 r^2,0.6071,0.6390,0.6548
 rbar^2,0.6024,0.6347,0.6506
,,,
pi_cum40,0.6395,0.6255,0.6192
 std err,0.0093,0.0073,0.0082
 t-stat,68.4559,85.8192,75.8002
 p-value,0.0000,0.0000,0.0000
 r^2,0.6003,0.6365,0.6336
 rbar^2,0.5955,0.6322,0.6292
,,,
pi_cum60,0.6395,0.6261,0.6192
 std err,0.0092,0.0070,0.0082
 t-stat,69.3038,89.4342,75.7148
 p-value,0.0000,0.0000,0.0000
 r^2,0.6061,0.6367,0.6226
 rbar^2,0.6013,0.6323,0.6180
