, RLS regressions," (w/constant, w/o rule dummies).", (Rule: itr)
 LHS vars (rows):,, RHS regressors (columns): ,
,rrate_cum20,rrate_cum40,rrate_cum60
y_cum20,0.3642,0.1964,0.1363
 std err,0.1915,0.1860,0.1844
 t-stat,1.9014,1.0560,0.7393
 p-value,0.0573,0.2910,0.4597
 r^2,0.0184,0.0071,0.0036
 rbar^2,0.0064,-0.0050,-0.0085
,,,
y_cum40,0.4590,0.2439,0.1649
 std err,0.2213,0.2174,0.2158
 t-stat,2.0736,1.1221,0.7641
 p-value,0.0381,0.2618,0.4448
 r^2,0.0220,0.0059,0.0028
 rbar^2,0.0101,-0.0062,-0.0094
,,,
y_cum60,0.5977,0.5359,0.4698
 std err,0.2213,0.2128,0.2107
 t-stat,2.7012,2.5180,2.2298
 p-value,0.0069,0.0118,0.0258
 r^2,0.0353,0.0244,0.0191
 rbar^2,0.0235,0.0125,0.0071
,,,
pi_cum20,0.4212,0.3631,0.3377
 std err,0.0635,0.0655,0.0663
 t-stat,6.6356,5.5456,5.0951
 p-value,0.0000,0.0000,0.0000
 r^2,0.1221,0.0927,0.0841
 rbar^2,0.1114,0.0816,0.0729
,,,
pi_cum40,0.3402,0.2894,0.2961
 std err,0.0687,0.0696,0.0682
 t-stat,4.9501,4.1553,4.3409
 p-value,0.0000,0.0000,0.0000
 r^2,0.0722,0.0616,0.0659
 rbar^2,0.0609,0.0502,0.0545
,,,
pi_cum60,0.3562,0.2782,0.2891
 std err,0.0653,0.0692,0.0683
 t-stat,5.4526,4.0194,4.2300
 p-value,0.0000,0.0001,0.0000
 r^2,0.0718,0.0545,0.0582
 rbar^2,0.0605,0.0429,0.0467
