, RLS regressions," (w/constant, w/o rule dummies).", (Rule: all)
 LHS vars (rows):,, RHS regressors (columns): ,
,rrate_cum20,rrate_cum40,rrate_cum60
y_cum20,-0.5149,-0.5003,-0.5106
 std err,0.0514,0.0485,0.0471
 t-stat,-10.0217,-10.3092,-10.8328
 p-value,0.0000,0.0000,0.0000
 r^2,0.1039,0.1087,0.1108
 rbar^2,0.1004,0.1052,0.1073
,,,
y_cum40,-0.5339,-0.5310,-0.5356
 std err,0.0573,0.0551,0.0537
 t-stat,-9.3192,-9.6289,-9.9652
 p-value,0.0000,0.0000,0.0000
 r^2,0.0846,0.0893,0.0908
 rbar^2,0.0809,0.0856,0.0872
,,,
y_cum60,-0.5090,-0.5043,-0.5053
 std err,0.0575,0.0558,0.0546
 t-stat,-8.8532,-9.0434,-9.2471
 p-value,0.0000,0.0000,0.0000
 r^2,0.0740,0.0767,0.0776
 rbar^2,0.0702,0.0730,0.0739
,,,
pi_cum20,-0.2336,-0.2111,-0.2018
 std err,0.0294,0.0286,0.0282
 t-stat,-7.9346,-7.3709,-7.1439
 p-value,0.0000,0.0000,0.0000
 r^2,0.0695,0.0597,0.0562
 rbar^2,0.0658,0.0559,0.0525
,,,
pi_cum40,-0.2515,-0.2238,-0.2135
 std err,0.0320,0.0313,0.0308
 t-stat,-7.8717,-7.1513,-6.9336
 p-value,0.0000,0.0000,0.0000
 r^2,0.0621,0.0519,0.0495
 rbar^2,0.0584,0.0481,0.0457
,,,
pi_cum60,-0.2557,-0.2269,-0.2006
 std err,0.0337,0.0326,0.0328
 t-stat,-7.5814,-6.9690,-6.1195
 p-value,0.0000,0.0000,0.0000
 r^2,0.0552,0.0475,0.0374
 rbar^2,0.0515,0.0437,0.0336
