, RLS regressions, (w/o c or rule dummmies)., (Rule: gr),,,
 RHS regressors (rows): ,, LHS vars (columns):,,,,
,y_cum20,y_cum40,y_cum60,pi_cum20,pi_cum40,pi_cum60
rrate_cum20,-0.6591,-0.6919,-0.7045,-0.5134,-0.5176,-0.5395
  std err,0.1613,0.1798,0.1861,0.0621,0.0583,0.0604
  t-stat,-4.0862,-3.8478,-3.7863,-8.2737,-8.8763,-8.9330
  p-value,0.0000,0.0001,0.0002,0.0000,0.0000,0.0000
wg_ndx,10.6173,7.6356,7.4059,2.9440,2.9932,3.0012
  std err,2.4460,2.7266,2.8215,0.9410,0.8842,0.9157
  t-stat,4.3407,2.8004,2.6248,3.1287,3.3852,3.2774
  p-value,0.0000,0.0051,0.0087,0.0018,0.0007,0.0010
product,3.4294,2.1796,2.0761,1.2584,1.2683,1.2885
  std err,1.0005,1.1153,1.1541,0.3849,0.3617,0.3746
  t-stat,3.4275,1.9543,1.7988,3.2693,3.5067,3.4397
  p-value,0.0006,0.0507,0.0721,0.0011,0.0005,0.0006
r^2,-0.1828,-0.2054,-0.2090,-0.7202,-0.6085,-0.6102
rbar^2,-0.2116,-0.2348,-0.2385,-0.7621,-0.6478,-0.6495
,,,,,,
rrate_cum40,-0.6651,-0.6967,-0.7058,-0.5087,-0.5225,-0.5421
  std err,0.1623,0.1732,0.1710,0.0559,0.0514,0.0570
  t-stat,-4.0982,-4.0215,-4.1285,-9.1064,-10.1728,-9.5161
  p-value,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000
wg_ndx,6.7428,3.2433,2.6985,2.8733,2.9385,2.9563
  std err,2.2058,2.3546,2.3236,0.7593,0.6980,0.7742
  t-stat,3.0569,1.3774,1.1613,3.7843,4.2098,3.8184
  p-value,0.0022,0.1684,0.2455,0.0002,0.0000,0.0001
product,1.8664,0.4822,0.2868,1.1945,1.2204,1.2421
  std err,0.8646,0.9229,0.9107,0.2976,0.2736,0.3035
  t-stat,2.1587,0.5225,0.3149,4.0138,4.4605,4.0933
  p-value,0.0309,0.6014,0.7528,0.0001,0.0000,0.0000
r^2,-0.2189,-0.2066,-0.1876,-0.6021,-0.4960,-0.5533
rbar^2,-0.2486,-0.2361,-0.2165,-0.6412,-0.5325,-0.5912
,,,,,,
rrate_cum60,-0.6752,-0.7078,-0.7174,-0.5228,-0.5294,-0.5421
  std err,0.1585,0.1719,0.1688,0.0576,0.0548,0.0582
  t-stat,-4.2597,-4.1171,-4.2512,-9.0719,-9.6533,-9.3070
  p-value,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
wg_ndx,4.3963,1.8255,1.3825,2.7018,2.7673,2.7918
  std err,1.9615,2.1274,2.0883,0.7131,0.6786,0.7207
  t-stat,2.2412,0.8581,0.6620,3.7886,4.0777,3.8735
  p-value,0.0250,0.3908,0.5080,0.0002,0.0000,0.0001
product,0.9936,-0.0348,-0.1897,1.1267,1.1446,1.1623
  std err,0.7510,0.8146,0.7996,0.2731,0.2598,0.2760
  t-stat,1.3230,-0.0428,-0.2372,4.1264,4.4050,4.2119
  p-value,0.1858,0.9659,0.8125,0.0000,0.0000,0.0000
r^2,-0.2207,-0.2037,-0.1820,-0.6403,-0.5590,-0.5648
rbar^2,-0.2504,-0.2331,-0.2109,-0.6804,-0.5971,-0.6030
