, RLS regressions, (w/o c or rule dummmies)., (Rule: itr),,,
 RHS regressors (rows): ,, LHS vars (columns):,,,,
,y_cum20,y_cum40,y_cum60,pi_cum20,pi_cum40,pi_cum60
rrate_cum20,-0.6386,-0.6440,-0.6126,-0.3334,-0.3466,-0.3541
  std err,0.0825,0.0929,0.0855,0.0344,0.0291,0.0299
  t-stat,-7.7418,-6.9318,-7.1635,-9.6911,-11.9077,-11.8521
  p-value,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
wg_ndx,2.4701,3.0879,3.9087,3.0000,2.0082,1.8708
  std err,1.8415,2.0741,1.9092,0.7682,0.6498,0.6670
  t-stat,1.3413,1.4888,2.0473,3.9054,3.0903,2.8048
  p-value,0.1798,0.1365,0.0406,0.0001,0.0020,0.0050
product,0.8533,1.0523,1.3293,1.2835,0.9173,0.8759
  std err,0.6571,0.7400,0.6812,0.2741,0.2319,0.2380
  t-stat,1.2986,1.4219,1.9514,4.6830,3.9561,3.6806
  p-value,0.1941,0.1550,0.0510,0.0000,0.0001,0.0002
r^2,-0.1391,-0.1073,-0.0884,-0.0079,0.0056,0.0016
rbar^2,-0.1673,-0.1346,-0.1153,-0.0328,-0.0190,-0.0230
,,,,,,
rrate_cum40,-0.6028,-0.6667,-0.6226,-0.3225,-0.3357,-0.3327
  std err,0.0764,0.0892,0.0826,0.0340,0.0314,0.0305
  t-stat,-7.8932,-7.4719,-7.5412,-9.4963,-10.7040,-10.9143
  p-value,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
wg_ndx,2.4794,3.2795,3.9590,3.0064,2.0707,1.8715
  std err,1.7433,2.0367,1.8847,0.7751,0.7158,0.6958
  t-stat,1.4223,1.6103,2.1007,3.8785,2.8927,2.6899
  p-value,0.1549,0.1073,0.0357,0.0001,0.0038,0.0071
product,0.8274,1.1491,1.3641,1.2745,0.9241,0.8539
  std err,0.6215,0.7261,0.6720,0.2764,0.2552,0.2481
  t-stat,1.3311,1.5825,2.0300,4.6116,3.6210,3.4422
  p-value,0.1831,0.1135,0.0424,0.0000,0.0003,0.0006
r^2,-0.0869,-0.0726,-0.0670,-0.0114,-0.0279,-0.0226
rbar^2,-0.1138,-0.0991,-0.0933,-0.0363,-0.0533,-0.0479
,,,,,,
rrate_cum60,-0.6008,-0.6774,-0.6734,-0.3234,-0.3326,-0.3257
  std err,0.0752,0.0888,0.0880,0.0339,0.0321,0.0308
  t-stat,-7.9898,-7.6305,-7.6566,-9.5453,-10.3644,-10.5920
  p-value,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
wg_ndx,2.4814,3.2276,3.9414,3.0056,2.0715,1.8718
  std err,1.7172,2.0273,2.0084,0.7737,0.7327,0.7022
  t-stat,1.4451,1.5921,1.9624,3.8849,2.8270,2.6654
  p-value,0.1484,0.1114,0.0497,0.0001,0.0047,0.0077
product,0.8271,1.1391,1.3985,1.2750,0.9213,0.8467
  std err,0.6122,0.7228,0.7160,0.2758,0.2612,0.2504
  t-stat,1.3511,1.5760,1.9531,4.6223,3.5266,3.3819
  p-value,0.1767,0.1150,0.0508,0.0000,0.0004,0.0007
r^2,-0.0763,-0.0659,-0.0714,-0.0115,-0.0404,-0.0339
rbar^2,-0.1028,-0.0922,-0.0979,-0.0364,-0.0661,-0.0594
