, RLS regressions, (w/o c or rule dummmies)., (Rule: tr),,,
 RHS regressors (rows): ,, LHS vars (columns):,,,,
,y_cum20,y_cum40,y_cum60,pi_cum20,pi_cum40,pi_cum60
rrate_cum20,-0.1122,-0.1233,-0.1253,-0.0404,-0.0407,-0.0412
  std err,0.0165,0.0187,0.0198,0.0059,0.0067,0.0068
  t-stat,-6.8160,-6.5849,-6.3364,-6.8919,-6.0454,-6.0130
  p-value,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
wg_ndx_prprice,0.6725,0.8646,0.8642,0.4412,0.7095,0.8379
  std err,0.1265,0.1438,0.1519,0.0450,0.0517,0.0526
  t-stat,5.3159,6.0129,5.6899,9.8055,13.7219,15.9255
  p-value,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
product,0.7051,0.9313,0.9352,0.5057,0.7991,0.9343
  std err,0.1539,0.1749,0.1848,0.0547,0.0629,0.0640
  t-stat,4.5815,5.3239,5.0616,9.2387,12.7037,14.5976
  p-value,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
r^2,0.0068,0.0232,0.0178,0.0693,0.0230,-0.0036
rbar^2,-0.0180,-0.0013,-0.0068,0.0460,-0.0014,-0.0287
,,,,,,
rrate_cum40,-0.1335,-0.1470,-0.1492,-0.0401,-0.0403,-0.0403
  std err,0.0136,0.0165,0.0178,0.0049,0.0055,0.0055
  t-stat,-9.8505,-8.9303,-8.3765,-8.1095,-7.3172,-7.3915
  p-value,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
wg_ndx_prprice,0.4626,0.5893,0.5903,0.2931,0.4668,0.5502
  std err,0.0752,0.0913,0.0988,0.0274,0.0305,0.0303
  t-stat,6.1542,6.4581,5.9752,10.6934,15.2902,18.1806
  p-value,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
product,0.4926,0.6498,0.6547,0.3427,0.5346,0.6219
  std err,0.0929,0.1127,0.1220,0.0339,0.0377,0.0374
  t-stat,5.3051,5.7631,5.3641,10.1213,14.1739,16.6329
  p-value,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
r^2,-0.0147,-0.0016,-0.0094,0.0805,0.0531,0.0330
rbar^2,-0.0400,-0.0267,-0.0347,0.0575,0.0294,0.0089
,,,,,,
rrate_cum60,-0.1334,-0.1464,-0.1514,-0.0397,-0.0402,-0.0409
  std err,0.0128,0.0160,0.0171,0.0045,0.0051,0.0052
  t-stat,-10.4585,-9.1752,-8.8345,-8.8485,-7.9346,-7.9199
  p-value,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
wg_ndx_prprice,0.4208,0.5359,0.5373,0.2645,0.4190,0.4914
  std err,0.0678,0.0848,0.0911,0.0239,0.0270,0.0275
  t-stat,6.2060,6.3170,5.8979,11.0790,15.5435,17.8934
  p-value,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
product,0.4450,0.5877,0.5957,0.3104,0.4824,0.5619
  std err,0.0833,0.1042,0.1119,0.0293,0.0331,0.0337
  t-stat,5.3448,5.6405,5.3246,10.5877,14.5737,16.6602
  p-value,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
r^2,-0.0181,-0.0098,-0.0182,0.0838,0.0639,0.0506
rbar^2,-0.0435,-0.0350,-0.0436,0.0609,0.0405,0.0269
