, RLS regressions, (w/o c orrule dummmies)., (Rule: all)
 LHS vars (rows):,, RHS regressors (columns): ,
,irate_cum20,irate_cum40,irate_cum60
y_cum20,-0.5278,-0.5069,-0.4826
 std err,0.0325,0.0298,0.0282
 t-stat,-16.2590,-17.0293,-17.1061
 p-value,0.0000,0.0000,0.0000
 r^2,0.1304,0.1353,0.1342
 rbar^2,0.1269,0.1318,0.1307
,,,
y_cum40,-0.7707,-0.7295,-0.7066
 std err,0.0405,0.0378,0.0361
 t-stat,-19.0120,-19.3023,-19.5534
 p-value,0.0000,0.0000,0.0000
 r^2,0.0856,0.0899,0.0816
 rbar^2,0.0820,0.0863,0.0779
,,,
y_cum60,-0.7889,-0.4738,-0.7388
 std err,0.0423,0.0330,0.0371
 t-stat,-18.6338,-14.3643,-19.8978
 p-value,0.0000,0.0000,0.0000
 r^2,0.0673,0.0952,0.0849
 rbar^2,0.0635,0.0915,0.0812
,,,
pi_cum20,0.0000,0.0000,0.0000
 std err,0.0000,0.0000,0.0000
 t-stat,0.0000,0.0000,0.0000
 p-value,0.0000,0.0000,0.0000
 r^2,0.0000,0.0000,0.0000
 rbar^2,0.0000,0.0000,0.0000
,,,
pi_cum40,0.0000,0.0000,0.0000
 std err,0.0000,0.0000,0.0000
 t-stat,0.0000,0.0000,0.0000
 p-value,0.0000,0.0000,0.0000
 r^2,0.0000,0.0000,0.0000
 rbar^2,0.0000,0.0000,0.0000
,,,
pi_cum60,0.0000,0.0000,0.0000
 std err,0.0000,0.0000,0.0000
 t-stat,0.0000,0.0000,0.0000
 p-value,0.0000,0.0000,0.0000
 r^2,0.0000,0.0000,0.0000
 rbar^2,0.0000,0.0000,0.0000
