sample,outcome,feature,coef,se,p_value,interpretation
panel_with_rule_controls,IScurve20,const,-0.4975841305499065,0.3373714116194392,0.1402433871141071,stronger policy power (larger absolute slope)
panel_with_rule_controls,IScurve20,rule_itr,-0.37418487540276596,0.1146884633603254,0.0011038742350268844,stronger policy power (larger absolute slope)
panel_with_rule_controls,IScurve20,rule_g,-0.6188857244876141,0.11436312394961708,6.246945631340034e-08,stronger policy power (larger absolute slope)
panel_with_rule_controls,IScurve20,estimated,0.2449687748310497,0.12406713365473089,0.04832654774009119,weaker policy power (smaller absolute slope)
panel_with_rule_controls,IScurve20,sw_x_idx,0.2194527414650922,0.16598172395864685,0.18611819660000428,weaker policy power (smaller absolute slope)
panel_with_rule_controls,IScurve20,sw_x_noidx,0.4179561964724333,0.14164561849898274,0.003170368050023657,weaker policy power (smaller absolute slope)
panel_with_rule_controls,IScurve20,pr_ndx,0.21240827048956376,0.12808912559109253,0.09725996327800683,weaker policy power (smaller absolute slope)
panel_with_rule_controls,IScurve20,wlth,-0.2540043920427804,0.17736180034892826,0.15210785131779272,stronger policy power (larger absolute slope)
panel_with_rule_controls,IScurve20,bnkcrdit,0.3374138648260365,0.1845320545378278,0.0674769808687427,weaker policy power (smaller absolute slope)
panel_with_rule_controls,IScurve20,ntwrth,0.11506506020436094,0.3431795111672486,0.7374054531003906,weaker policy power (smaller absolute slope)
panel_with_rule_controls,IScurve20,open,0.3705978218157246,0.2313965522708278,0.1092506856061244,weaker policy power (smaller absolute slope)
panel_with_rule_controls,IScurve20,wlth_x_bnk,-0.27759242540442847,0.2571153303232299,0.2803017765387953,stronger policy power (larger absolute slope)
panel_with_rule_controls,IScurve20,bnk_x_ntw,-1.115774422477265,0.34894492920275927,0.0013859271824894265,stronger policy power (larger absolute slope)
panel_with_rule_controls,IScurve20,ntw_x_wlth,-0.1842075508590748,0.3063031445726033,0.547580469018971,stronger policy power (larger absolute slope)
panel_with_rule_controls,IScurve20,wlth_x_open,-0.3051068353169375,0.3738769270791279,0.41446455014133476,stronger policy power (larger absolute slope)
panel_with_rule_controls,IScurve20,cb_authors_ext,-0.3216471461028181,0.20700573415002385,0.12023024438499207,stronger policy power (larger absolute slope)
panel_with_rule_controls,IScurve20,ln_neq,-0.046082394448252434,0.0964941018560092,0.6329584548658811,stronger policy power (larger absolute slope)
panel_with_rule_controls,IScurve20,vint_mid,-0.029950137927855024,0.21407426066478288,0.8887347610255727,stronger policy power (larger absolute slope)
panel_with_rule_controls,IScurve20,vint_late,0.2602073979025252,0.27148602386351967,0.33783288819538104,weaker policy power (smaller absolute slope)
panel_with_rule_controls,IScurve20,cb_x_late,-0.10218753425526672,0.2577012299448575,0.6917104588861437,stronger policy power (larger absolute slope)
panel_with_rule_controls,infl_per_rr20,const,0.04421302411728085,0.15025814285249636,0.7685690854283915,weaker policy power (smaller absolute slope)
panel_with_rule_controls,infl_per_rr20,rule_itr,-0.193535215692783,0.05107983343463628,0.00015132969655644324,stronger policy power (larger absolute slope)
panel_with_rule_controls,infl_per_rr20,rule_g,-0.49859680227611664,0.050934934092350274,1.2565967157247632e-22,stronger policy power (larger absolute slope)
panel_with_rule_controls,infl_per_rr20,estimated,0.09879383596545885,0.05525689625717583,0.07379205195650758,weaker policy power (smaller absolute slope)
panel_with_rule_controls,infl_per_rr20,sw_x_idx,0.22346052154480142,0.07392477468605091,0.002504397266739151,weaker policy power (smaller absolute slope)
panel_with_rule_controls,infl_per_rr20,sw_x_noidx,0.02788522908921103,0.06308598430639524,0.6584751657324269,weaker policy power (smaller absolute slope)
panel_with_rule_controls,infl_per_rr20,pr_ndx,-0.08282268879146236,0.057048207014730824,0.14655672737761719,stronger policy power (larger absolute slope)
panel_with_rule_controls,infl_per_rr20,wlth,-0.08368701410042671,0.0789932217596046,0.2894084581753785,stronger policy power (larger absolute slope)
panel_with_rule_controls,infl_per_rr20,bnkcrdit,0.07662494973346756,0.08218670241948842,0.35116713063543403,weaker policy power (smaller absolute slope)
