sample,outcome,feature,coef,se,p_value,interpretation
panel_with_rule_controls,IScurve20,bnk_x_ntw,-1.115774422477265,0.34894492920275927,0.0013859271824894265,stronger policy power (larger absolute slope)
panel_with_rule_controls,IScurve20,sw_x_noidx,0.4179561964724333,0.14164561849898274,0.003170368050023657,weaker policy power (smaller absolute slope)
panel_with_rule_controls,IScurve20,bnkcrdit,0.3374138648260365,0.1845320545378278,0.0674769808687427,weaker policy power (smaller absolute slope)
panel_with_rule_controls,IScurve20,pr_ndx,0.21240827048956376,0.12808912559109253,0.09725996327800683,weaker policy power (smaller absolute slope)
panel_with_rule_controls,infl_per_rr20,sw_x_idx,0.22346052154480142,0.07392477468605091,0.002504397266739151,weaker policy power (smaller absolute slope)
panel_with_rule_controls,infl_per_rr20,cb_authors_ext,-0.21625127047636314,0.09219600743256325,0.018998518663632728,stronger policy power (larger absolute slope)
panel_with_rule_controls,infl_per_rr20,open,0.18796110955165402,0.10305916568267341,0.06817966783462129,weaker policy power (smaller absolute slope)
panel_with_rule_controls,piq_timing_max,cb_authors_ext,1.0741023974471264,0.2592690774918584,3.4307691083919334e-05,longer lag to peak effect
panel_with_rule_controls,piq_timing_max,cb_x_late,-0.8580849959459921,0.30139610474700396,0.004412863141648069,shorter lag to peak effect
panel_with_rule_controls,piq_timing_max,ntwrth,-0.4898558281454833,0.20109926637322711,0.01485517338797976,shorter lag to peak effect
panel_with_rule_controls,piq_timing_max,bnkcrdit,0.5341151775736983,0.21981129847492065,0.015103803735510197,longer lag to peak effect
panel_with_rule_controls,piq_timing_max,pr_ndx,0.2841526108235506,0.15299413729267744,0.06327164479055758,longer lag to peak effect
panel_with_rule_controls,sacratio20,sw_x_idx,5.361751250562602,1.440555909938093,0.0001976498524861164,higher output cost of disinflation
panel_with_rule_controls,sacratio20,pr_ndx,-2.8250846584669285,1.1114922489103463,0.01103134475418205,lower output cost of disinflation
panel_with_rule_controls,sacratio20,open,4.060110194135641,2.4521382706739714,0.09777392344572851,higher output cost of disinflation
panel_with_rule_controls,y_timing_max,cb_authors_ext,0.7319230502730696,0.18128032707101888,5.4019108478051614e-05,longer lag to peak effect
