subset,outcome,model,n_obs,cv_r2_mean
full,IScurve20,RF,217,0.076169717389337
full,IScurve20,Ridge,217,0.05978657007217407
trimmed_1_99_any,IScurve20,RF,200,0.2813995728539166
trimmed_1_99_any,IScurve20,Ridge,200,0.1417590022087097
full,infl_per_rr20,RF,217,-0.21897822852957932
full,infl_per_rr20,Ridge,217,-0.18601142168045043
trimmed_1_99_any,infl_per_rr20,RF,200,0.15669527315367393
trimmed_1_99_any,infl_per_rr20,Ridge,200,0.07061768770217895
full,piq_timing_max,RF,217,0.4455143703339486
full,piq_timing_max,Ridge,217,-0.16447160243988038
trimmed_1_99_any,piq_timing_max,RF,200,0.26631049083306696
trimmed_1_99_any,piq_timing_max,Ridge,200,0.173903751373291
full,sacratio20,RF,192,0.2032596280004281
full,sacratio20,Ridge,192,-0.5523253440856933
trimmed_1_99_any,sacratio20,RF,175,-1.001356828465638
trimmed_1_99_any,sacratio20,Ridge,175,-2.0953662514686586
full,y_timing_max,RF,217,0.3206895992335831
full,y_timing_max,Ridge,217,0.055124521255493164
trimmed_1_99_any,y_timing_max,RF,200,0.4146213194725439
trimmed_1_99_any,y_timing_max,Ridge,200,0.18578957319259642
