outcome,feature,rf_importance
IScurve20,ln_neq,0.2287604449305388
IScurve20,wlth_x_open,0.13934527123757873
IScurve20,rule_g,0.12067037672433138
IScurve20,bnk_x_ntw,0.08339088971960043
IScurve20,estimated,0.06158467480418004
IScurve20,bnkcrdit,0.04811130430516978
IScurve20,sw_x_idx,0.041026142808940125
IScurve20,pr_ndx,0.03784567987910435
IScurve20,vint_mid,0.03485481827936452
IScurve20,rule_itr,0.031105728917680948
IScurve20,wlth,0.02409913288527696
IScurve20,open,0.023964272080286814
IScurve20,vint_late,0.02335170455885188
IScurve20,sw_x_noidx,0.023309867948359198
IScurve20,ntw_x_wlth,0.020305981125122212
IScurve20,cb_authors_ext,0.01986331019714035
IScurve20,cb_x_late,0.014282175380275309
IScurve20,wlth_x_bnk,0.013186204302230711
IScurve20,ntwrth,0.010942019915967459
infl_per_rr20,ln_neq,0.24912474175594507
infl_per_rr20,rule_g,0.1787610427041299
infl_per_rr20,wlth_x_bnk,0.10883587870698921
infl_per_rr20,estimated,0.08094277641616922
infl_per_rr20,rule_itr,0.07782161537959811
infl_per_rr20,cb_authors_ext,0.05387338243760313
infl_per_rr20,cb_x_late,0.04824238175875022
infl_per_rr20,sw_x_idx,0.034162292226484384
infl_per_rr20,wlth_x_open,0.022419885471486885
infl_per_rr20,open,0.022063527677038654
infl_per_rr20,wlth,0.021235620090971057
infl_per_rr20,pr_ndx,0.019355435318648022
infl_per_rr20,ntwrth,0.01919562481351653
infl_per_rr20,sw_x_noidx,0.018199728588328697
infl_per_rr20,bnk_x_ntw,0.014322830740319762
infl_per_rr20,vint_mid,0.011523084387725993
infl_per_rr20,bnkcrdit,0.01124393965101189
infl_per_rr20,vint_late,0.006139800616907746
infl_per_rr20,ntw_x_wlth,0.002536411258375637
piq_timing_max,ln_neq,0.5529862060544171
piq_timing_max,cb_authors_ext,0.12852012477521632
piq_timing_max,estimated,0.0887398951977261
piq_timing_max,vint_mid,0.04751236830962209
piq_timing_max,vint_late,0.0406917220129507
piq_timing_max,pr_ndx,0.027060984920942027
piq_timing_max,open,0.025292271442080783
piq_timing_max,sw_x_idx,0.021265066259848715
piq_timing_max,rule_g,0.015444994676483184
piq_timing_max,sw_x_noidx,0.015001247705560706
piq_timing_max,rule_itr,0.009695425101074696
piq_timing_max,bnkcrdit,0.008179657602418086
piq_timing_max,bnk_x_ntw,0.0067927634702155525
piq_timing_max,wlth,0.006397053069619072
piq_timing_max,cb_x_late,0.002760605156121622
piq_timing_max,ntwrth,0.002610735467099401
piq_timing_max,wlth_x_bnk,0.0006138023507483001
piq_timing_max,wlth_x_open,0.000322412117609132
piq_timing_max,ntw_x_wlth,0.00011266431024642822
sacratio20,ln_neq,0.7844951383550053
sacratio20,pr_ndx,0.03666770956136034
sacratio20,sw_x_idx,0.028399907417458747
sacratio20,estimated,0.026633830547571617
sacratio20,bnk_x_ntw,0.021309650280091814
sacratio20,wlth,0.013654213937300158
sacratio20,sw_x_noidx,0.013422590175827568
sacratio20,cb_x_late,0.013357445652855526
sacratio20,rule_g,0.011501419099639221
sacratio20,rule_itr,0.0100614241232854
sacratio20,bnkcrdit,0.009009117828548635
sacratio20,wlth_x_open,0.0087804384223878
sacratio20,ntwrth,0.007338375094918156
sacratio20,cb_authors_ext,0.006079071746450105
sacratio20,wlth_x_bnk,0.003913865118825968
sacratio20,open,0.002909807877092014
sacratio20,vint_late,0.0012185971432018294
sacratio20,vint_mid,0.0011229258432221706
sacratio20,ntw_x_wlth,0.00012447177495776045
y_timing_max,ln_neq,0.39831601661568505
y_timing_max,estimated,0.17657026370086087
y_timing_max,cb_authors_ext,0.09221604183850995
y_timing_max,rule_g,0.08627756651497823
y_timing_max,sw_x_idx,0.044043408408517434
y_timing_max,rule_itr,0.043478629291831404
y_timing_max,bnkcrdit,0.036823676476047805
y_timing_max,wlth,0.0355819617761549
y_timing_max,pr_ndx,0.019760515727963376
y_timing_max,vint_mid,0.014204677618778725
y_timing_max,bnk_x_ntw,0.01077702962653015
y_timing_max,sw_x_noidx,0.009363101482261197
y_timing_max,ntwrth,0.008584302009943024
y_timing_max,cb_x_late,0.008099957224691007
y_timing_max,open,0.007660763089343496
y_timing_max,vint_late,0.004442974126972451
y_timing_max,wlth_x_bnk,0.002360145616600374
y_timing_max,wlth_x_open,0.0009524070137109789
y_timing_max,ntw_x_wlth,0.0004865618406195623
