outcome,contrast,group,n_models,mean_delta,median_delta,t_test_p
IScurve20,Growth - Inertial_Taylor,all_models,73,-0.22840719,-0.12200245261192322,0.5645015046512254
IScurve20,Growth - Inertial_Taylor,calibrated_models,30,0.3823709,-0.10723982751369476,0.6715780999829095
IScurve20,Growth - Inertial_Taylor,estimated_minus_calibrated,30,-1.0369024,-0.03584839403629303,0.27032273264095424
IScurve20,Growth - Inertial_Taylor,estimated_models,43,-0.6545315,-0.1430882215499878,0.009923335349329829
IScurve20,Growth - Taylor,all_models,69,-0.52851814,-0.42752861976623535,0.10296496624685336
IScurve20,Growth - Taylor,calibrated_models,30,-0.31557575,-0.42268380522727966,0.6673010624947935
IScurve20,Growth - Taylor,estimated_minus_calibrated,30,-0.37674412,-0.024500995874404907,0.6119315424953273
IScurve20,Growth - Taylor,estimated_models,39,-0.69231987,-0.44718480110168457,2.235854447022135e-07
IScurve20,Inertial_Taylor - Taylor,all_models,69,-0.49802035,-0.32854849100112915,1.212868151576512e-06
IScurve20,Inertial_Taylor - Taylor,calibrated_models,30,-0.6979467,-0.3276740312576294,0.0018964448527218837
IScurve20,Inertial_Taylor - Taylor,estimated_minus_calibrated,30,0.35371587,-0.011939823627471924,0.09963714339697756
IScurve20,Inertial_Taylor - Taylor,estimated_models,39,-0.34423086,-0.3396138548851013,4.9452982772879e-10
infl_per_rr20,Growth - Inertial_Taylor,all_models,73,-0.41233584,-0.16350851953029633,0.0005277054712475624
infl_per_rr20,Growth - Inertial_Taylor,calibrated_models,30,-0.47487363,-0.19389532506465912,0.015891116932935406
infl_per_rr20,Growth - Inertial_Taylor,estimated_minus_calibrated,30,0.10616878,0.036816611886024475,0.6531818639535384
infl_per_rr20,Growth - Inertial_Taylor,estimated_models,43,-0.36870486,-0.15707871317863464,0.014479574948148536
infl_per_rr20,Growth - Taylor,all_models,69,-0.82216936,-0.3793240189552307,0.007004953179998082
infl_per_rr20,Growth - Taylor,calibrated_models,30,-1.45337,-0.5732116103172302,0.03614705226742995
infl_per_rr20,Growth - Taylor,estimated_minus_calibrated,30,1.1167397,0.31149518489837646,0.10390683371984331
infl_per_rr20,Growth - Taylor,estimated_models,39,-0.33663017,-0.26171642541885376,6.19341730090607e-05
infl_per_rr20,Inertial_Taylor - Taylor,all_models,69,-0.50598973,-0.1788911372423172,0.0819290920495772
infl_per_rr20,Inertial_Taylor - Taylor,calibrated_models,30,-0.97849643,-0.273398756980896,0.14518762102994304
infl_per_rr20,Inertial_Taylor - Taylor,estimated_minus_calibrated,30,0.8359736,0.138604998588562,0.2116018957311207
infl_per_rr20,Inertial_Taylor - Taylor,estimated_models,39,-0.14252284,-0.13479375839233398,0.00018979406732804884
piq_timing_max,Growth - Inertial_Taylor,all_models,73,0.34246576,0.0,0.005268654027388334
piq_timing_max,Growth - Inertial_Taylor,calibrated_models,30,0.0,0.0,
piq_timing_max,Growth - Inertial_Taylor,estimated_minus_calibrated,30,0.5813953,0.0,0.0046996242213861415
piq_timing_max,Growth - Inertial_Taylor,estimated_models,43,0.5813953,0.0,0.0046996242213861415
piq_timing_max,Growth - Taylor,all_models,69,0.5942029,0.0,0.037667486093695565
piq_timing_max,Growth - Taylor,calibrated_models,30,0.16666667,0.0,0.022608365393639987
piq_timing_max,Growth - Taylor,estimated_minus_calibrated,30,0.75641024,1.0,0.13379603897901435
piq_timing_max,Growth - Taylor,estimated_models,39,0.9230769,1.0,0.06686705407988527
piq_timing_max,Inertial_Taylor - Taylor,all_models,69,0.26086956,0.0,0.19131987753134547
piq_timing_max,Inertial_Taylor - Taylor,calibrated_models,30,0.16666667,0.0,0.022608365393639987
piq_timing_max,Inertial_Taylor - Taylor,estimated_minus_calibrated,30,0.16666667,0.0,0.6403135613910441
piq_timing_max,Inertial_Taylor - Taylor,estimated_models,39,0.33333334,0.0,0.3431132641734318
sacratio20,Growth - Inertial_Taylor,all_models,65,-1.7840561,0.7300207614898682,0.5184541699682483
sacratio20,Growth - Inertial_Taylor,calibrated_models,25,2.4792957,0.6746339797973633,0.11686095227545121
sacratio20,Growth - Inertial_Taylor,estimated_minus_calibrated,25,-6.927947,0.19373846054077148,0.13792939187643585
sacratio20,Growth - Inertial_Taylor,estimated_models,40,-4.4486513,0.8683724403381348,0.31075680506525194
sacratio20,Growth - Taylor,all_models,61,-1.6205734,2.1035094261169434,0.608306396240659
sacratio20,Growth - Taylor,calibrated_models,25,0.7857345,2.1035094261169434,0.8489590777012941
sacratio20,Growth - Taylor,estimated_minus_calibrated,25,-4.0773544,0.012364387512207031,0.5068408634144379
sacratio20,Growth - Taylor,estimated_models,36,-3.2916198,2.1158738136291504,0.47327633628990395
sacratio20,Inertial_Taylor - Taylor,all_models,61,0.17298885,1.608119249343872,0.9136470297313308
sacratio20,Inertial_Taylor - Taylor,calibrated_models,25,-1.6935616,1.4787830114364624,0.6443608387910373
sacratio20,Inertial_Taylor - Taylor,estimated_minus_calibrated,25,3.1627655,0.20154941082000732,0.40666976950212175
sacratio20,Inertial_Taylor - Taylor,estimated_models,36,1.4692041,1.6803324222564697,0.1434717593034785
y_timing_max,Growth - Inertial_Taylor,all_models,73,0.46575344,0.0,0.06640358665467554
y_timing_max,Growth - Inertial_Taylor,calibrated_models,30,0.033333335,0.0,0.325581910529088
y_timing_max,Growth - Inertial_Taylor,estimated_minus_calibrated,30,0.7341085,0.0,0.08823208688999166
y_timing_max,Growth - Inertial_Taylor,estimated_models,43,0.76744187,0.0,0.07437753175855284
y_timing_max,Growth - Taylor,all_models,69,0.71014494,0.0,0.00024871539969455674
y_timing_max,Growth - Taylor,calibrated_models,30,0.1,0.0,0.41461619452872367
y_timing_max,Growth - Taylor,estimated_minus_calibrated,30,1.0794872,1.0,0.0012396214188207725
y_timing_max,Growth - Taylor,estimated_models,39,1.1794872,1.0,0.00024393151393211788
y_timing_max,Inertial_Taylor - Taylor,all_models,69,0.5217391,0.0,0.002845314554147747
y_timing_max,Inertial_Taylor - Taylor,calibrated_models,30,0.06666667,0.0,0.5362030949869453
y_timing_max,Inertial_Taylor - Taylor,estimated_minus_calibrated,30,0.8051282,1.0,0.008851086538908181
y_timing_max,Inertial_Taylor - Taylor,estimated_models,39,0.8717949,1.0,0.003040726427806736
