outcome,label,model_family,feature,coefficient,abs_coefficient,is_zero,p_value
IScurve20,y-slope,huber_l1,ln_neq__x__vint_mid,-0.3184915153097157,0.3184915153097157,False,0.9189165985091267
IScurve20,y-slope,huber_l1,pr_ndx__x__vint_mid,0.3035993692926374,0.3035993692926374,False,0.04911805878435993
IScurve20,y-slope,huber_l1,estimated__x__pr_ndx,-0.20700977970617604,0.20700977970617604,False,0.0841497526949032
IScurve20,y-slope,huber_l1,estimated__x__ln_neq,0.20252468519834912,0.20252468519834912,False,0.00898125647623263
IScurve20,y-slope,huber_l1,wg_ndx__x__ntwrth,0.19708120084827246,0.19708120084827246,False,0.05590061279157138
IScurve20,y-slope,huber_l1,pr_ndx__x__bnkcrdit,-0.1936471041162755,0.1936471041162755,False,0.4698763389073577
IScurve20,y-slope,huber_l1,bnkcrdit__x__vint_late,0.18179877923008259,0.18179877923008259,False,1.5287786013252209e-07
IScurve20,y-slope,huber_l1,stky_wg__x__vint_mid,0.17586018101858122,0.17586018101858122,False,0.48708048787452474
IScurve20,y-slope,huber_l1,estimated__x__vint_late,-0.1738518991153694,0.1738518991153694,False,1.9058430943237254e-05
IScurve20,y-slope,huber_l1,cb_authors_ext,-0.16853667383624188,0.16853667383624188,False,0.04577255877615398
IScurve20,y-slope,huber_l1,bnkcrdit__x__ntwrth,-0.16784058151949247,0.16784058151949247,False,0.5530569698591015
IScurve20,y-slope,huber_l1,estimated__x__wg_ndx,-0.16641221355388125,0.16641221355388125,False,0.9034330596447907
IScurve20,y-slope,huber_l1,stky_wg__x__bnkcrdit,0.1614260037189456,0.1614260037189456,False,0.7576651935377132
IScurve20,y-slope,huber_l1,stky_wg__x__ntwrth,0.16059916979607675,0.16059916979607675,False,0.12082668643946638
IScurve20,y-slope,huber_l1,ntwrth__x__vint_late,-0.1545633529521465,0.1545633529521465,False,0.00032315660839986473
IScurve20,y-slope,huber_l1,ntwrth__x__ln_neq,-0.14037689069586595,0.14037689069586595,False,0.8710400280756173
IScurve20,y-slope,huber_l1,stky_wg__x__wlth,0.1355869789470441,0.1355869789470441,False,1.0043191260868786e-05
IScurve20,y-slope,huber_l1,vint_late,0.1214642140429561,0.1214642140429561,False,0.7602912646963771
IScurve20,y-slope,huber_l1,pr_ndx,0.11465351176729777,0.11465351176729777,False,0.4695217473581135
IScurve20,y-slope,huber_l1,vint_mid,-0.1111021699891655,0.1111021699891655,False,0.9102613324230298
IScurve20,y-slope,huber_l1,ln_neq__x__vint_late,0.10701162715298959,0.10701162715298959,False,0.7632288413604597
IScurve20,y-slope,huber_l1,estimated__x__stky_wg,-0.1009130906801396,0.1009130906801396,False,0.4693390024813415
IScurve20,y-slope,huber_l1,cb_authors_ext__x__vint_late,0.0980002792419633,0.0980002792419633,False,0.23046139018999545
IScurve20,y-slope,huber_l1,cb_authors_ext__x__ln_neq,-0.09267083491667577,0.09267083491667577,False,0.19745130350332718
IScurve20,y-slope,huber_l1,stky_wg__x__cb_authors_ext,0.08318838535554997,0.08318838535554997,False,0.5338677984064879
IScurve20,y-slope,huber_l1,wlth__x__bnkcrdit,-0.0816874924629028,0.0816874924629028,False,0.5731189918614742
IScurve20,y-slope,huber_l1,estimated__x__vint_mid,0.07643979014482594,0.07643979014482594,False,0.22558131136406312
IScurve20,y-slope,huber_l1,wlth__x__cb_authors_ext,-0.07308136245507826,0.07308136245507826,False,0.7309489272558636
IScurve20,y-slope,huber_l1,open__x__cb_authors_ext,0.07179940223770925,0.07179940223770925,False,0.615346561641149
IScurve20,y-slope,huber_l1,pr_ndx__x__cb_authors_ext,0.0692507232630341,0.0692507232630341,False,0.10832494943315919
IScurve20,y-slope,huber_l1,bnkcrdit__x__cb_authors_ext,-0.067469397208679,0.067469397208679,False,9.114269765695265e-05
IScurve20,y-slope,huber_l1,ntwrth__x__cb_authors_ext,-0.06275093518980313,0.06275093518980313,False,0.012927691336324284
IScurve20,y-slope,huber_l1,stky_wg__x__pr_ndx,-0.06169960959919642,0.06169960959919642,False,0.11075666227137321
IScurve20,y-slope,huber_l1,stky_wg,0.05834030929227501,0.05834030929227501,False,0.6457813708364619
IScurve20,y-slope,huber_l1,bnkcrdit__x__ln_neq,-0.058236582684374344,0.058236582684374344,False,0.4436620663551154
IScurve20,y-slope,huber_l1,wlth__x__vint_mid,-0.058052824692331154,0.058052824692331154,False,0.07423791904546016
IScurve20,y-slope,huber_l1,bnkcrdit,-0.046977152107091726,0.046977152107091726,False,0.8817708238085034
IScurve20,y-slope,huber_l1,ln_neq,-0.046118896578772633,0.046118896578772633,False,0.06693068505593755
IScurve20,y-slope,huber_l1,open,0.04406193387046112,0.04406193387046112,False,0.324735406086493
IScurve20,y-slope,huber_l1,wg_ndx__x__cb_authors_ext,0.036140231713262645,0.036140231713262645,False,0.05310146317209452
IScurve20,y-slope,huber_l1,wg_ndx__x__wlth,-0.03487977303704226,0.03487977303704226,False,0.4979952948443793
IScurve20,y-slope,huber_l1,estimated__x__wlth,-0.033906644984395024,0.033906644984395024,False,0.7766310542840268
IScurve20,y-slope,huber_l1,ntwrth,-0.033783809769173306,0.033783809769173306,False,0.14110979187996084
IScurve20,y-slope,huber_l1,wlth__x__ln_neq,-0.031079770239207532,0.031079770239207532,False,0.1560962923465884
IScurve20,y-slope,huber_l1,cb_authors_ext__x__vint_mid,-0.02704476851173537,0.02704476851173537,False,0.23804488614845498
IScurve20,y-slope,huber_l1,pr_ndx__x__ln_neq,0.02167259909390797,0.02167259909390797,False,0.18184039281716213
IScurve20,y-slope,huber_l1,wlth,-0.01556988521933404,0.01556988521933404,False,0.7117692225137391
IScurve20,y-slope,huber_l1,pr_ndx__x__wlth,0.010602384655264292,0.010602384655264292,False,0.3541372805474807
IScurve20,y-slope,huber_l1,stky_wg__x__ln_neq,0.0002987936317272394,0.0002987936317272394,False,0.8913996925410456
infl_per_rr20,pi-slope,huber_l1,estimated__x__stky_wg,0.004171719820302526,0.004171719820302526,False,0.00011627399756761254
piq_timing_max,pi-timing,nb_l1,estimated__x__vint_late,-0.708615525370247,0.708615525370247,False,0.004167811960693821
piq_timing_max,pi-timing,nb_l1,estimated__x__cb_authors_ext,0.6778718531851253,0.6778718531851253,False,0.14135793422949722
piq_timing_max,pi-timing,nb_l1,estimated__x__ln_neq,-0.26604692383595846,0.26604692383595846,False,0.13906320493298585
piq_timing_max,pi-timing,nb_l1,stky_wg__x__bnkcrdit,0.13188391531594199,0.13188391531594199,False,0.2537233475355384
piq_timing_max,pi-timing,nb_l1,cb_authors_ext,0.1247488045039788,0.1247488045039788,False,0.8123107164943448
piq_timing_max,pi-timing,nb_l1,wg_ndx__x__ntwrth,0.11062256308618397,0.11062256308618397,False,0.4771819988752184
piq_timing_max,pi-timing,nb_l1,estimated__x__stky_wg,-0.06121518650247458,0.06121518650247458,False,0.5068739571157003
piq_timing_max,pi-timing,nb_l1,open__x__ln_neq,0.038586868464342255,0.038586868464342255,False,0.32231995060324126
sacratio20,sacratio,huber_l1,wg_ndx__x__cb_authors_ext,-3.78501950600006,3.78501950600006,False,0.0
sacratio20,sacratio,huber_l1,stky_wg__x__cb_authors_ext,-2.445287594560609,2.445287594560609,False,0.0
sacratio20,sacratio,huber_l1,bnkcrdit__x__cb_authors_ext,-2.3349510902030826,2.3349510902030826,False,0.0
sacratio20,sacratio,huber_l1,wg_ndx__x__ln_neq,2.0672153814660903,2.0672153814660903,False,0.002941626098415393
sacratio20,sacratio,huber_l1,ntwrth__x__cb_authors_ext,-2.0507891690922206,2.0507891690922206,False,0.0
sacratio20,sacratio,huber_l1,wg_ndx__x__vint_late,1.9944773103275686,1.9944773103275686,False,0.0
sacratio20,sacratio,huber_l1,open__x__ln_neq,1.9470846414447291,1.9470846414447291,False,0.0
sacratio20,sacratio,huber_l1,cb_authors_ext,1.8273507687533554,1.8273507687533554,False,0.0
sacratio20,sacratio,huber_l1,ntwrth__x__vint_late,1.7010386469491021,1.7010386469491021,False,0.0
