outcome,label,model_family,feature,coefficient,abs_coefficient,is_zero,p_value
IScurve20,y-slope,huber_l1,estimated__x__bnkcrdit,0.0,0.0,True,
IScurve20,y-slope,huber_l1,estimated__x__cb_authors_ext,0.0,0.0,True,
IScurve20,y-slope,huber_l1,estimated__x__ntwrth,0.0,0.0,True,
IScurve20,y-slope,huber_l1,open__x__ln_neq,0.0,0.0,True,
IScurve20,y-slope,huber_l1,pr_ndx__x__ntwrth,0.0,0.0,True,
IScurve20,y-slope,huber_l1,pr_ndx__x__vint_late,0.0,0.0,True,
IScurve20,y-slope,huber_l1,stky_wg__x__open,0.0,0.0,True,
IScurve20,y-slope,huber_l1,stky_wg__x__vint_late,0.0,0.0,True,
IScurve20,y-slope,huber_l1,stky_wg__x__wg_ndx,0.0,0.0,True,
IScurve20,y-slope,huber_l1,wg_ndx,0.0,0.0,True,
IScurve20,y-slope,huber_l1,wg_ndx__x__bnkcrdit,0.0,0.0,True,
IScurve20,y-slope,huber_l1,wg_ndx__x__ln_neq,0.0,0.0,True,
IScurve20,y-slope,huber_l1,wg_ndx__x__pr_ndx,0.0,0.0,True,
IScurve20,y-slope,huber_l1,wg_ndx__x__vint_late,0.0,0.0,True,
IScurve20,y-slope,huber_l1,wlth__x__vint_late,0.0,0.0,True,
infl_per_rr20,pi-slope,huber_l1,bnkcrdit,0.0,0.0,True,
infl_per_rr20,pi-slope,huber_l1,bnkcrdit__x__cb_authors_ext,0.0,0.0,True,
infl_per_rr20,pi-slope,huber_l1,bnkcrdit__x__ln_neq,0.0,0.0,True,
infl_per_rr20,pi-slope,huber_l1,bnkcrdit__x__ntwrth,0.0,0.0,True,
infl_per_rr20,pi-slope,huber_l1,bnkcrdit__x__vint_late,0.0,0.0,True,
infl_per_rr20,pi-slope,huber_l1,cb_authors_ext,0.0,0.0,True,
infl_per_rr20,pi-slope,huber_l1,cb_authors_ext__x__ln_neq,0.0,0.0,True,
infl_per_rr20,pi-slope,huber_l1,cb_authors_ext__x__vint_late,0.0,0.0,True,
infl_per_rr20,pi-slope,huber_l1,cb_authors_ext__x__vint_mid,0.0,0.0,True,
infl_per_rr20,pi-slope,huber_l1,estimated__x__bnkcrdit,0.0,0.0,True,
infl_per_rr20,pi-slope,huber_l1,estimated__x__cb_authors_ext,0.0,0.0,True,
infl_per_rr20,pi-slope,huber_l1,estimated__x__ln_neq,0.0,0.0,True,
infl_per_rr20,pi-slope,huber_l1,estimated__x__ntwrth,0.0,0.0,True,
infl_per_rr20,pi-slope,huber_l1,estimated__x__pr_ndx,0.0,0.0,True,
infl_per_rr20,pi-slope,huber_l1,estimated__x__vint_late,0.0,0.0,True,
infl_per_rr20,pi-slope,huber_l1,estimated__x__vint_mid,0.0,0.0,True,
infl_per_rr20,pi-slope,huber_l1,estimated__x__wg_ndx,0.0,0.0,True,
infl_per_rr20,pi-slope,huber_l1,estimated__x__wlth,0.0,0.0,True,
infl_per_rr20,pi-slope,huber_l1,ln_neq,0.0,0.0,True,
infl_per_rr20,pi-slope,huber_l1,ln_neq__x__vint_late,0.0,0.0,True,
infl_per_rr20,pi-slope,huber_l1,ln_neq__x__vint_mid,0.0,0.0,True,
infl_per_rr20,pi-slope,huber_l1,ntwrth,0.0,0.0,True,
infl_per_rr20,pi-slope,huber_l1,ntwrth__x__cb_authors_ext,0.0,0.0,True,
infl_per_rr20,pi-slope,huber_l1,ntwrth__x__ln_neq,0.0,0.0,True,
infl_per_rr20,pi-slope,huber_l1,ntwrth__x__vint_late,0.0,0.0,True,
infl_per_rr20,pi-slope,huber_l1,open,0.0,0.0,True,
infl_per_rr20,pi-slope,huber_l1,open__x__cb_authors_ext,0.0,0.0,True,
infl_per_rr20,pi-slope,huber_l1,open__x__ln_neq,0.0,0.0,True,
infl_per_rr20,pi-slope,huber_l1,pr_ndx,0.0,0.0,True,
infl_per_rr20,pi-slope,huber_l1,pr_ndx__x__bnkcrdit,0.0,0.0,True,
infl_per_rr20,pi-slope,huber_l1,pr_ndx__x__cb_authors_ext,0.0,0.0,True,
infl_per_rr20,pi-slope,huber_l1,pr_ndx__x__ln_neq,0.0,0.0,True,
infl_per_rr20,pi-slope,huber_l1,pr_ndx__x__ntwrth,0.0,0.0,True,
infl_per_rr20,pi-slope,huber_l1,pr_ndx__x__vint_late,0.0,0.0,True,
